category,task_name,test_size,n_unique_labels,unique_label_ratio
interpretation,maud_fiduciary_exception__board_determination_standard,179,8,0.0447
interpretation,maud_fiduciary_exception_board_determination_trigger_(no_shop),179,2,0.0112
interpretation,maud_financial_point_of_view_is_the_sole_consideration,112,2,0.0179
interpretation,maud_fls_(mae)_standard,77,4,0.0519
interpretation,maud_general_economic_and_financial_conditions_subject_to_disproportionate_impact_modifier,98,2,0.0204
interpretation,maud_includes_consistent_with_past_practice,181,2,0.011
interpretation,maud_initial_matching_rights_period_(cor),158,5,0.0316
interpretation,maud_initial_matching_rights_period_(ftr),132,5,0.0379
interpretation,maud_intervening_event_-_required_to_occur_after_signing_-_answer,124,2,0.0161
interpretation,maud_knowledge_definition,148,2,0.0135
interpretation,maud_liability_standard_for_no-shop_breach_by_target_non-do_representatives,134,2,0.0149
interpretation,maud_ordinary_course_efforts_standard,181,3,0.0166
interpretation,maud_pandemic_or_other_public_health_event__subject_to_disproportionate_impact_modifier,98,2,0.0204
interpretation,maud_pandemic_or_other_public_health_event_specific_reference_to_pandemic-related_governmental_responses_or_measures,98,2,0.0204
interpretation,maud_relational_language_(mae)_applies_to,90,2,0.0222
interpretation,maud_specific_performance,178,2,0.0112
interpretation,maud_tail_period_length,179,4,0.0223
interpretation,maud_type_of_consideration,172,4,0.0233
interpretation,opp115_data_retention,304,2,0.0066
interpretation,opp115_data_security,738,2,0.0027
interpretation,opp115_do_not_track,56,2,0.0357
interpretation,opp115_first_party_collection_use,3034,2,0.0007
interpretation,opp115_international_and_specific_audiences,694,2,0.0029
interpretation,opp115_policy_change,362,2,0.0055
interpretation,opp115_third_party_sharing_collection,2364,2,0.0008
interpretation,"opp115_user_access,_edit_and_deletion",452,2,0.0044
interpretation,opp115_user_choice_control,1254,2,0.0016
interpretation,privacy_policy_entailment,4335,2,0.0005
interpretation,privacy_policy_qa,10923,2,0.0002
interpretation,proa,95,2,0.0211
interpretation,sara_entailment,272,2,0.0074
interpretation,supply_chain_disclosure_best_practice_accountability,379,2,0.0053
interpretation,supply_chain_disclosure_best_practice_audits,379,2,0.0053
interpretation,supply_chain_disclosure_best_practice_certification,378,2,0.0053
interpretation,supply_chain_disclosure_best_practice_training,379,2,0.0053
interpretation,supply_chain_disclosure_best_practice_verification,379,2,0.0053
interpretation,supply_chain_disclosure_disclosed_accountability,378,2,0.0053
interpretation,supply_chain_disclosure_disclosed_audits,379,2,0.0053
interpretation,supply_chain_disclosure_disclosed_certification,378,2,0.0053
interpretation,supply_chain_disclosure_disclosed_training,379,2,0.0053
interpretation,supply_chain_disclosure_disclosed_verification,379,2,0.0053
interpretation,unfair_tos,3813,9,0.0024
issue-spotting,corporate_lobbying,490,2,0.0041
issue-spotting,learned_hands_benefits,66,2,0.0303
issue-spotting,learned_hands_business,174,2,0.0115
issue-spotting,learned_hands_consumer,614,2,0.0033
issue-spotting,learned_hands_courts,192,2,0.0104
issue-spotting,learned_hands_crime,688,2,0.0029
issue-spotting,learned_hands_divorce,150,2,0.0133
issue-spotting,learned_hands_domestic_violence,174,2,0.0115
issue-spotting,learned_hands_education,56,2,0.0357
issue-spotting,learned_hands_employment,710,2,0.0028
issue-spotting,learned_hands_estates,178,2,0.0112
issue-spotting,learned_hands_family,2265,2,0.0009
issue-spotting,learned_hands_health,226,2,0.0088
issue-spotting,learned_hands_housing,4494,2,0.0004
issue-spotting,learned_hands_immigration,134,2,0.0149
issue-spotting,learned_hands_torts,432,2,0.0046
issue-spotting,learned_hands_traffic,556,2,0.0036
rhetorical-understanding,canada_tax_court_outcomes,244,3,0.0123
rhetorical-understanding,definition_classification,1337,2,0.0015
rhetorical-understanding,function_of_decision_section,367,7,0.0191
rhetorical-understanding,legal_reasoning_causality,55,2,0.0364
rhetorical-understanding,oral_argument_question_purpose,312,7,0.0224
rhetorical-understanding,overruling,2394,2,0.0008
rhetorical-understanding,scalr,571,5,0.0088
rhetorical-understanding,textualism_tool_dictionaries,107,2,0.0187
rhetorical-understanding,textualism_tool_plain,165,2,0.0121
rule-application,abercrombie,95,5,0.0526
rule-application,diversity_1,300,2,0.0067
rule-application,diversity_2,300,2,0.0067
rule-application,diversity_3,300,2,0.0067
rule-application,diversity_4,300,2,0.0067
rule-application,diversity_5,300,2,0.0067
rule-application,diversity_6,300,2,0.0067
rule-application,hearsay,94,2,0.0213
rule-application,personal_jurisdiction,50,2,0.04
rule-application,telemarketing_sales_rule,47,2,0.0426
rule-application,ucc_v_common_law,94,2,0.0213
rule-conclusion,abercrombie,95,5,0.0526
rule-conclusion,diversity_1,300,2,0.0067
rule-conclusion,diversity_2,300,2,0.0067
rule-conclusion,diversity_3,300,2,0.0067
rule-conclusion,diversity_4,300,2,0.0067
rule-conclusion,diversity_5,300,2,0.0067
rule-conclusion,diversity_6,300,2,0.0067
rule-conclusion,hearsay,94,2,0.0213
rule-conclusion,personal_jurisdiction,50,2,0.04
rule-conclusion,telemarketing_sales_rule,47,2,0.0426
rule-conclusion,ucc_v_common_law,94,2,0.0213
rule-recall,citation_prediction_classification,108,2,0.0185
rule-recall,international_citizenship_questions,9306,2,0.0002
rule-recall,nys_judicial_ethics,292,2,0.0068
