category,strategy,mean_accuracy,std_accuracy,n_observations,zero_shot_baseline,accuracy_gain,fit_score,fit_score_normalized
issue-spotting,few_shot_3,0.8938271604938272,0.011315001715940295,3,0.9580246913580247,-0.06419753086419755,-5.673665146135829,0.9371284030488355
issue-spotting,irac,0.9185185185185185,0.012830005981991702,3,0.9580246913580247,-0.03950617283950619,-3.079201435678001,0.9629042973154397
issue-spotting,ireac,0.9259259259259259,0.007407407407407418,3,0.9580246913580247,-0.032098765432098775,-4.333333333333329,0.9504445465546033
issue-spotting,one_shot,0.908641975308642,0.01131500171594035,3,0.9580246913580247,-0.04938271604938271,-4.3643578047198455,0.9501363196594215
issue-spotting,role_based,0.9358024691358025,0.011315001715940343,3,0.9580246913580247,-0.022222222222222254,-1.9639610121239346,0.9739841667788286
issue-spotting,structured,0.9259259259259259,0.014814814814814836,3,0.9580246913580247,-0.032098765432098775,-2.1666666666666643,0.9719702941246553
issue-spotting,treacc,0.9185185185185185,0.019598157859737734,3,0.9580246913580247,-0.03950617283950619,-2.015810522715877,0.9734690439434596
issue-spotting,zero_shot,0.9580246913580247,0.018641566506841324,3,0.9580246913580247,0.0,0.0,0.9934960416947072
rhetorical-understanding,cleo,0.0,0.0,3,0.2123456790123457,-0.2123456790123457,-100.0,0.0
rhetorical-understanding,cot,0.23209876543209876,0.008553337321327797,3,0.2123456790123457,0.01975308641975307,2.309401076758499,0.9775382642423175
rhetorical-understanding,crac,0.0,0.0,3,0.2123456790123457,-0.2123456790123457,-100.0,0.0
rhetorical-understanding,creac,0.0024691358024691358,0.004276668660663895,3,0.2123456790123457,-0.20987654320987656,-49.074772881118186,0.4865765765414718
rhetorical-understanding,few_shot_2,0.3160493827160494,0.02804399183111249,3,0.2123456790123457,0.10370370370370369,3.697893806567616,0.9908049314178232
rhetorical-understanding,few_shot_3,0.4024691358024692,0.04079681886878594,3,0.2123456790123457,0.1901234567901235,4.66025200154978,1.0
rhetorical-understanding,irac,0.0,0.0,3,0.2123456790123457,-0.2123456790123457,-100.0,0.0
rhetorical-understanding,ireac,0.0,0.0,3,0.2123456790123457,-0.2123456790123457,-100.0,0.0
rhetorical-understanding,one_shot,0.19753086419753085,0.0042766686606638986,3,0.2123456790123457,-0.014814814814814836,-3.464101615137756,0.9223740296691888
rhetorical-understanding,role_based,0.23950617283950618,0.01864156650684136,3,0.2123456790123457,0.027160493827160487,1.4569855927715476,0.9693936681068683
rhetorical-understanding,structured,0.2493827160493827,0.008553337321327788,3,0.2123456790123457,0.03703703703703701,4.33012701892219,0.9968457463429125
rhetorical-understanding,treacc,0.0,0.0,3,0.2123456790123457,-0.2123456790123457,-100.0,0.0
rhetorical-understanding,zero_shot,0.2123456790123457,0.015419748144193572,3,0.2123456790123457,0.0,0.0,0.955472570413066
rule-application_conclusion,cleo,0.5555555555555555,0.02222222222222217,3,0.562962962962963,-0.007407407407407529,-0.3333333333333396,0.8013712363736298
rule-application_conclusion,cot,0.6271604938271605,0.015419748144193545,3,0.562962962962963,0.06419753086419755,4.163331998932275,1.0
rule-application_conclusion,crac,0.48395061728395056,0.004276668660663905,3,0.562962962962963,-0.07901234567901244,-18.475208614068002,0.0
rule-application_conclusion,creac,0.4222222222222222,0.04625924443258075,3,0.562962962962963,-0.14074074074074078,-3.042434922296655,0.6817035583516815
rule-application_conclusion,few_shot_2,0.4567901234567901,0.02263000343188068,3,0.562962962962963,-0.1061728395061729,-4.6916846400738415,0.608852143325834
rule-application_conclusion,few_shot_3,0.4888888888888889,0.01959815785973769,3,0.562962962962963,-0.07407407407407413,-3.7796447300922784,0.6491391885719318
rule-application_conclusion,irac,0.582716049382716,0.043403446496906035,3,0.562962962962963,0.01975308641975304,0.4551040991908584,0.8361984562904222
rule-application_conclusion,ireac,0.5580246913580247,0.015419748144193602,3,0.562962962962963,-0.004938271604938316,-0.3202563076101766,0.8019488807521572
rule-application_conclusion,one_shot,0.48148148148148145,0.007407407407407397,3,0.562962962962963,-0.08148148148148154,-11.000000000000023,0.3301983436942622
rule-application_conclusion,role_based,0.6049382716049383,0.03340185002091032,3,0.562962962962963,0.041975308641975295,1.2566761606227739,0.8716058650600321
rule-application_conclusion,structured,0.5728395061728394,0.008553337321327745,3,0.562962962962963,0.00987654320987641,1.154700538379242,0.8671013510992261
rule-application_conclusion,treacc,0.5037037037037037,0.03703703703703702,3,0.562962962962963,-0.059259259259259345,-1.600000000000003,0.7454194553679552
rule-application_conclusion,zero_shot,0.562962962962963,0.02962962962962959,3,0.562962962962963,0.0,0.0,0.8160953892698602
rule-recall,cleo,0.4617283950617284,0.015419748144193593,3,0.5012345679012346,-0.03950617283950614,-2.5620504608813888,0.6209190525895796
rule-recall,cot,0.508641975308642,0.015419748144193564,3,0.5012345679012346,0.007407407407407418,0.4803844614152625,0.7881800995738553
rule-recall,crac,0.5382716049382715,0.01541974814419356,3,0.5012345679012346,0.03703703703703698,2.4019223070763056,0.8938186555639241
rule-recall,creac,0.4641975308641975,0.03500604167594521,3,0.5012345679012346,-0.037037037037037035,-1.0580184237878985,0.703604789391552
rule-recall,few_shot_2,0.4518518518518519,0.007407407407407418,3,0.5012345679012346,-0.04938271604938266,-6.666666666666649,0.395263476847629
rule-recall,few_shot_3,0.48395061728395056,0.02263000343188065,3,0.5012345679012346,-0.017283950617283994,-0.7637626158259767,0.7197818106846687
rule-recall,irac,0.4222222222222222,0.007407407407407418,3,0.5012345679012346,-0.07901234567901233,-10.666666666666648,0.17535928661040315
rule-recall,ireac,0.4419753086419753,0.0042766686606638725,3,0.5012345679012346,-0.059259259259259234,-13.856406460551083,0.0
rule-recall,one_shot,0.4493827160493827,0.029936680624647247,3,0.5012345679012346,-0.05185185185185187,-1.7320508075688787,0.6665491530042961
rule-recall,role_based,0.5333333333333333,0.00740740740740739,3,0.5012345679012346,0.032098765432098775,4.333333333333345,1.0
rule-recall,structured,0.5851851851851851,0.02670778722565917,3,0.5012345679012346,0.08395061728395059,3.1433011119429652,0.9345767319997355
rule-recall,treacc,0.4444444444444444,0.03394500514782102,3,0.5012345679012346,-0.05679012345679013,-1.6730038251426094,0.6697953227183961
rule-recall,zero_shot,0.5012345679012346,0.040796818868785965,3,0.5012345679012346,0.0,0.0,0.7617704605763379
