model_a,model_b,category,strategy,n_matched_pairs,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,accuracy_a,accuracy_b,test_statistic,p_value,method,significant_at_0.05
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,creac,405,385,9,5,6,0.9629629629629628,0.965432098765432,,1.0,exact_binomial,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,few_shot_3,405,96,177,65,67,0.3975308641975308,0.4024691358024691,0.0075757575757575,0.9306406489398112,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,one_shot,405,68,245,48,44,0.2864197530864197,0.2765432098765432,0.0978260869565217,0.7544541774940892,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,few_shot_3,405,81,214,30,80,0.2740740740740741,0.3975308641975308,21.827272727272728,2.983293529378917e-06,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,one_shot,405,46,255,70,34,0.2864197530864197,0.1975308641975308,11.778846153846152,0.0005990760601549,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,few_shot_3,405,51,182,60,112,0.2740740740740741,0.4024691358024691,15.122093023255816,0.0001007769780729,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,role_based,405,180,70,90,65,0.6666666666666666,0.6049382716049383,3.7161290322580647,0.053889167882959,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,cot,405,179,77,74,75,0.6246913580246913,0.6271604938271605,0.0,1.0,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,role_based,405,131,92,43,139,0.4296296296296296,0.6666666666666666,49.58791208791209,1.8967878936872072e-12,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,structured,405,151,107,60,87,0.5209876543209877,0.5876543209876544,4.598639455782313,0.0319973393763915,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,structured,405,139,101,72,93,0.5209876543209877,0.5728395061728395,2.4242424242424243,0.1194709867717003,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,cot,405,158,95,56,96,0.528395061728395,0.6271604938271605,10.00657894736842,0.0015598200168921,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,few_shot_3,405,141,106,103,55,0.6024691358024692,0.4839506172839506,13.981012658227847,0.000184666126996,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,structured,405,173,116,52,64,0.5555555555555556,0.5851851851851851,1.043103448275862,0.3071007888373495,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,few_shot_2,405,188,128,49,40,0.5851851851851851,0.562962962962963,0.7191011235955056,0.3964389152571208,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,few_shot_3,405,197,128,33,47,0.5679012345679012,0.6024691358024692,2.1125,0.1461004659634181,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,few_shot_2,405,43,28,194,140,0.5851851851851851,0.4518518518518518,8.410179640718562,0.0037312578892268,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,structured,405,151,100,68,86,0.5407407407407407,0.5851851851851851,1.8766233766233769,0.1707184197968212,chi_square_corrected,False
