index,text,answer,split
26,"lack's Law Dictionary 1145 (7th ed.1999) defines “prevailing party” as “[a] party in whose favor a judgment is rendered, regardless of the amount of damages awarded <in certain cases, the court will award attorney's fees to the prevailing party>.—Also termed successful party.” ",Yes,test
27,"We turn to the phrases “keep arms” and “bear arms.” Johnson defined “keep” as, most relevantly, “[t]o retain; not to lose,” and “[t]o have in custody.” Johnson 1095. Webster defined it as “[t]o hold; to retain in one's power or possession.” No party has apprised us of an idiomatic meaning of “keep Arms.” Thus, the most natural reading of “keep Arms” in the Second Amendment is to “have weapons.”",Yes,test
28,"""As the Court acknowledges, ante, at 1402, the word 'administrative' is more capacious, potentially reaching not only federal, state, and local government sources but also disclosures by private entities. See, e.g., Black's Law Dictionary 42 (5th ed. 1979)"" ",Yes,test
29,"Black's Law Dictionary defines a “civil action” as identical to an “action at law,” which in relevant part is defined as a “civil suit stating a legal cause of action.” Black's 32–33, 279 (9th ed. 2009); see also id., at 222 (5th ed. 1979).",Yes,test
30,"To “take,” when applied to wild animals, means to reduce those animals, by killing or capturing, to human control. See, e.g., 11 Oxford English Dictionary (1933) (“Take ... To catch, capture (a wild beast, bird, fish, etc.)”); Webster's New International Dictionary of the English Language (2d ed. 1949) (take defined as “to catch or capture by trapping, snaring, etc., or as prey”)",Yes,test
31,"A “party” to litigation is “[o]ne by or against whom a lawsuit is brought.” Black's Law Dictionary 1154 (8th ed.2004). An individual may also become a “party” to a lawsuit by intervening in the action. See id., at 840 (defining “intervention” as “[t]he legal procedure by which ... a third party is allowed to become a party to the litigation”). ",Yes,test
32,"By using the phrase “such Exchange,” Section 18041 instructs the Secretary to establish and operate the same Exchange that the State was directed to establish under Section 18031. See Black's Law Dictionary 1661 (10th ed. 2014) (defining “such” as “That or those; having just been mentioned”). ",Yes,test
33,"First, a stay is “a kind of injunction,” Black's 1413",Yes,test
34,"And a jury could reasonably infer that his words, in context, did not amount to a statement of intent to inflict harm. Cf. United States v. White, 258 F.3d 374, 383 (C.A.5 2001) (“A threat imports ‘[a] communicated intent to inflict physical or other harm’ ” (quoting Black's Law Dictionary 1480 (6th ed. 1990))",Yes,test
35,"On definitions, “carry” in legal formulations could mean, inter alia, transport, possess, have in stock, prolong (carry over), be infectious, or wear or bear on one's person.",Yes,test
36,"The argument made in this connection by the railway company would confine the term ‘mineral lands' to lands bearing gold, silver, cinnabar, or copper, which would exclude all other metalliferous lands, such as contain iron, lead, tin, nickel, platinum, aluminum, etc.,-a limitation wholly inconsistent with the use of the word ‘mineral’ in the 1st section.",Yes,test
37,"The first was presentment, which, like an indictment, was a grand jury's formal accusation “of an offence, inquirable in the Court where it [was] presented.” 5 G. Jacob, The Law–Dictionary 278–279 (1811).",Yes,test
38,"‘Business' is a very comprehensive term and embraces everything about which a person can be employed. Black's Law Dict. 158, citing People ex rel. Hoyt v. Tax Comrs. 23 N. Y. 242, 244. ‘That which occupies the time, attention, and labor of men for the purpose of a livelihood or profit.’ 1 Bouvier's Law Dict. p. 273.",Yes,test
39,"The argument that the term “employed,” as used in § 701(f), is commonly used to mean “[p]erforming work under an employer-employee relationship,” Black's Law Dictionary 525 (6th ed.1990), begs the question by implicitly reading the word “employed” to mean “is employed.” But the word “employed” is not so limited in its possible meanings, and could just as easily be read to mean “was employed.”",Yes,test
40,"The phrase “free from” means “untainted” or “[c]lear of (something which is regarded as objectionable).” Webster's Third New International Dictionary 905 (def. 4(a)(2)) (1976); 4 Oxford English Dictionary 521 (def. 12) (1933); see also American Heritage Dictionary 524 (def. 5(a)) (1969) (defining “free” “used with from” as “[n]ot affected or restricted by a given condition or circumstance”); Random House Dictionary of the English Language 565 (def. 12) (1966) (defining “free” as “exempt or released from something specified that controls, restrains, burdens, etc.”). ",Yes,test
41,"Definitions of “physical force” from the same period are also at odds with the Court's nonviolent interpretation of that phrase. See Black's Law Dictionary 656 (7th ed. 1999) (“[f]orce consisting in a physical act, esp. a violent act directed against a robbery victim”); id., at 1147 (6th ed. 1990) (“[f]orce applied to the body; actual violence”).",Yes,test
42,"The standard dictionary definition of “any” is “[s]ome, regardless of quantity or number.” American Heritage Dictionary 59 (def. 2) (1969).",Yes,test
43,"E-mails might also not be “records” if records are limited to “minutes” or other formal writings “designed to memorialize [past] events.” Id., at 1465.",Yes,test
44,"It is entirely natural to regard an employment decision as being “made” at the time when the outcome is actually determined and not during events leading up to that decision. See American Heritage Dictionary, at 788 (def. 10) (defining “make” as “[t]o arrive at” a particular conclusion, i.e., to “make a decision”).",Yes,test
45,"the use of a cane as an instrument of punishment was once so common that “to cane” has become a verb meaning “[t]o beat with a cane.” Webster's New International Dictionary, supra, at 390",Yes,test
46,"Had Congress meant to make the latter as well as the former an element of the predicate offense, it likely would have used the plural 'elements,' as it has done in other offense-defining provisions... (defining 'element' as '[a] constituent part of a claim that must be proved for the claim to succeed <Burke failed to prove the element of proximate cause in prosecuting his negligence claim>').",Yes,test
47,"Suggestively, at least one recently published law dictionary defines the word “employment” to mean “the relationship between master and servant.” Black's Law Dictionary 641 (10th ed. 2014).",Yes,test
48,"To remove a case “pursuant to” § 1442 or § 1443, then, just means that a defendant's notice of removal must assert the case is removable “in accordance with or by reason of ” one of those provisions.",Yes,test
49,"""The 'low-water mark' of a river is defined as a 'the point to which the water recedes at its lowest stage.'"" Virginia v. Maryland, 540 U.S. 56, 62 n.2, 124 S.Ct. 598, 603 n.2 (2003) (quoting Black's Law Dictionary 1586 (7th ed. 1999)). ",Yes,test
50,"Likewise, “violence” implies force, including an “unjust or unwarranted use of force.” Black's Law Dictionary, at 1564; accord, Random House Dictionary, at 2124 (“rough or injurious physical force, action, or treatment,” or “an unjust or unwarranted exertion of force or power, as against rights or laws”).",Yes,test
51,"Had Congress wanted to toll supervised release during pretrial confinement, it could have chosen an alternative to the word 'imprisoned' that more readily conveys that intent, such as 'confined' or 'detained.' See Black's Law Dictionary 362 (10th ed. 2014) (defining “confinement” as “the quality, state, or condition of being imprisoned or restrained”); id., at 543 (defining “detention” as “[t]he act or an instance of holding a person in custody; confinement or compulsory delay"")."" ",Yes,test
52,"A dictionary from the period during which the private-hands exception was enacted illustrates the general nature of the term; it defines compensation to include “that which supplies the place of something else” and “that which is given or received as an equivalent for services, debt, want, loss, or suffering.” N. Webster, An American Dictionary of the English Language 235 (C. Goodrich ed. 1849).",Yes,test
53,"One 18th-century dictionary defined “arms” as “[w]eapons of offence, or armour of defence,” 1 S. Johnson, A Dictionary of the English Language (1755), and another contemporaneous source explained that “[b]y arms, we understand those instruments of offence generally made use of in war; such as firearms, swords, &c. ",Yes,test
54,"A “seniority system” is a *606 scheme that, alone or in tandem with non-“seniority” criteria,13 allots to employees ever improving employment rights and benefits as their relative lengths of pertinent employment increase.",Yes,test
55,"Webster's New International Dictionary (2d ed., 1953) likewise defines ‘stolen’ as ‘Obtained or accomplished by theft, stealth, or craft",Yes,test
56,"In our view, a 'criminal case' at the very leats requires the initiation of legal proceedings."" Chavez v. Martinez, 538 U.S. 760, 766, 123 S.Ct. 1994, 2001 (2003).  See Blyew v. United States, 13 Wall. 581, 595, 20 L.Ed. 638 (1872) (“The words ‘case’ and ‘cause’ are constantly used as synonyms in statutes and judicial decisions, each meaning a proceeding in court, a suit, or action” (emphasis added)); Black's Law Dictionary 215 (6th ed.1990) (defining “[c]ase” as “[a] general term for an action, cause, suit, or controversy at law ...; a question contested before a court of justice” (emphasis added)).",Yes,test
57,"It then refers to the definition of “appeal” found in Black's Law Dictionary 96 (6th ed. 1990), which includes, inter alia, the following: “There are two stages of appeal in the federal and many state court systems; to wit, appeal from trial court to intermediate appellate court and then to Supreme Court.” ",Yes,test
58,"“[K]nowledge” and “knowingly” are normally associated **2136 with awareness, understanding, or consciousness. See Black's Law Dictionary 888 (8th ed.2004) (hereinafter Black's); Webster's Third New International Dictionary 1252–1253 (1993) (hereinafter Webster's 3d); American Heritage Dictionary of the English Language 725 (1981) (hereinafter Am. Hert.).",Yes,test
59,The term “elements of the offense” means  “constituent parts of a crime ... that the prosecution must prove to sustain a conviction.” Black's Law Dictionary 597 (9th ed.2009). ,Yes,test
60,"Blackstone defined forgery as “the fraudulent making or alteration of a writing to the prejudice of another man's right.” 4 W. Blackstone, Commentaries 245 (1769) (emphasis added). The most prominent 19th-century American authority on criminal law wrote that “[f]orgery, at the common law, is the false making or materially altering, with intent to defraud, of any writing which, if genuine, might apparently be of legal efficacy or the foundation of a legal liability.” 2 J. Bishop, Criminal Law § 523, p. 288 (5th ed. 1872) (emphasis added). ",Yes,test
61,"At that time, the primary definition of “now” was “[a]t the present time; at this moment; at the time of speaking.” Webster's New International Dictionary 1671 (2d ed.1934); see also Black's Law Dictionary 1262 (3d ed.1933) (defining “now” to mean “[a]t this time, or at the present moment,” and noting that “ ‘[n]ow’ as used in a statute ordinarily refers to the date of its taking effect ...” (emphasis added)).",Yes,test
62,"That dictionary unsurprisingly defines “purpose” as synonymous with intent, id., at 1400, and “intent” as, among other things, “a state of mind,” id., at 947. ",Yes,test
63,"‘Foreign’ (Burrill's Law Dict., ‘Foreign’) means ‘that which is without or beyond the limits of a particular territory,’ as the Western lakes are beyond the limits of a particular State.",Yes,test
64,"To “relate to” means “ ‘to stand in some relation; to have bearing or concern; to pertain; refer; to bring into association with or connection with.’ ” Morales v. Trans World Airlines, Inc., 504 U.S. 374, 383, 112 S.Ct. 2031, 119 L.Ed.2d 157 (1992) (quoting Black's Law Dictionary 1158 (5th ed. 1979)). In ordinary parlance, one thing can “relate to” another even if it also relates to other things. ",Yes,test
65,"As an initial matter, the common usage of 'child support' refers to legally compulsory payments made by parents. Black's Law Dictionary 217 (5th ed. 1979) defines 'child support' as “[t]he legal obligation of parents to contribute to the economic maintenance, including education, of their children; enforceable in both civil and criminal contexts. In a dissolution or custody action, money paid by one parent to another toward the expenses of children of the marriage.",Yes,test
66,"And “residence” referred to a “[p]ersonal presence at some place of abode,” Black's Law Dictionary, at 1176, “one's usual dwelling-place,” 13 Oxford English Dictionary, at 707, or “the act or fact of abiding or dwelling in a place for some time,” Webster's Third New International Dictionary, at 1931; see also ibid. (“a temporary or permanent dwelling place, abode, or habitation”). ",Yes,test
67," If the ordinance's prohibition were limited *111 to loitering with “an apparently harmful purpose,” the criminality of the conduct would continue to depend on its external appearance, rather than the loiterer's state of mind. See Black's Law Dictionary 1345 (6th ed.1990) (scienter “is frequently used to signify the defendant's guilty knowledge”). ",Yes,test
68,"“Though ‘shall’ generally means ‘must,’ legal writers sometimes use, or misuse, ‘shall’ to mean ‘should,’ ‘will,’ or even ‘may.’ ” See D. Mellinkoff, Mellinkoff's Dictionary of American Legal Usage 402–403 (1992)) (“shall” and “may” are “frequently treated as synonyms” and their meaning depends on context); B. Garner, Dictionary of Modern Legal Usage 939 (2d ed. 1995) (‘Courts in virtually every English-speaking jurisdiction have held—by necessity—that shall means may in some contexts, and vice versa’)”",Yes,test
69,A common—and in context the most natural—definition of the word “recognize” is “to acknowledge or treat as valid.” Random House Dictionary of the English Language 1611 (2d ed.1987).,Yes,test
70,"Damages means “loss due to ... injury or harm to person, property, or reputation.” Webster's Third New International Dictionary 571 (1961); Black's Law Dictionary 351 (5th ed. 1979). ",Yes,test
71,"The common law as to rivers not navigable has adopted the civil law.3 Washburne on Real Property, *452; Angel on Watercourses, § 53; 1 Bouvier's Law Dictionary, title ‘Alluvion;’ 3 Kent, 428*.",Yes,test
72,"Second, as the above quotations indicate, the taking in a robbery had to be 'felonious,' a common-law term of art signifying an intent to steal.",Yes,test
73,"We have previously noted that “[r]ead naturally, the word ‘any’ **836 has an expansive meaning, that is, ‘one or some indiscriminately of whatever kind.’ ” United States v. Gonzales, 520 U.S. 1, 5, 117 S.Ct. 1032, 137 L.Ed.2d 132 (1997) (quoting Webster's Third New International Dictionary 97 (1976)).",Yes,test
74,"""'[P]unishment,' from the tie of the Founding through the present day, 'has always meant . . ."" ",Yes,test
75,"According to Webster's, “in relation to” means “with reference to” or “as regards.” Webster's New International *238 Dictionary, at 2102.",Yes,test
76,"The “home port doctrine” enunciated in Hays was a corollary of the medieval maxim mobilia sequuntur personam (“movables follow the person,” see Black's Law Dictionary 1154 (rev. 4th ed. 1968)) and resulted in personal property being taxable in full at the domicile of the owner.",Yes,test
77,"Dictionaries define a “charge” as an accusation or indictment. *409 See, e.g., American Heritage Dictionary 312 (4th ed.2000); Webster's Third New International Dictionary 377 (1993). In legal parlance, a “charge” is generally a formal allegation of wrongdoing that initiates legal proceedings against an alleged wrongdoer. In criminal law, for example, a charge is defined as “[a] formal accusation of an offense as a preliminary step to prosecution.” Black's Law Dictionary 248 (8th ed.2004). ",Yes,test
78,The definition of the word “attorney” in Webster's Dictionary reads as follows: “[O]ne who is legally appointed by another to transact business for him; specif: a legal agent qualified to act for suitors and defendants in legal proceedings.” Webster's New Collegiate Dictionary 73 (1975).,Yes,test
79,“Imprisonment” as used in the clause most naturally means “[t]he state of being confined” or “a period of confinement.” Black's Law Dictionary 825 (9th ed.2009); see also Webster's Third New International Dictionary 1137 (1993) (the “state of being imprisoned”). ,Yes,test
80,"""The Chief Justice begins by defining 'maturity' to mean the time when a note becomes due."" ",Yes,test
81,"The common meaning of the term “curriculum” is “the whole body of courses offered by an educational institution or one of its branches.” Webster's Third New International Dictionary 557 (1976); see also Black's Law Dictionary 345 (5th ed. 1979) (“The set of studies or courses for a particular period, designated by a school or branch of a school”). Cf. Hazelwood School Dist. v. Kuhlmeier, 484 U.S., at 271, 108 S.Ct., at 570 (high school newspaper produced as part of the school's journalism class was part of the curriculum). ",Yes,test
82,Arguing that a prior removal order was substantively unlawful is a “challenge” to that order. See Black's Law Dictionary 230 (6th ed. 1990) (“Challenge” means “[t]o object or except to” or “to put into dispute”). ,Yes,test
83,"When a court employs “the extraordinary remedy of injunction,” Weinberger v. Romero–Barcelo, 456 U.S. 305, 312, 102 S.Ct. 1798, 72 L.Ed.2d 91 (1982), it directs the conduct of a party, and does so with the backing of its full coercive powers. See Black's Law Dictionary 784 (6th ed.1990) (defining “injunction” as “[a] court order prohibiting someone from doing some specified act or commanding someone to undo some wrong or injury”).",Yes,test
84,"These statutes only prohibit “disclos [ure],” 18 U.S.C. § 2511(1)(c); 18 Pa. Cons.Stat. § 5703(2) (2000), and one cannot “disclose” what is already in the public domain. See Black's Law Dictionary 477 (7th ed.1999) (defining “disclosure” as “[t]he act or process of making known something that was previously unknown; a revelation of facts”); *547 S.Rep. No. 1097, at 93, U.S.Code Cong. & Admin.News 1968, pp. 2112, 2181 (“The disclosure of the contents of an intercepted communication that had already become ‘public information’ or ‘common knowledge’ would not be prohibited”).",Yes,test
85,"""...there is no structural implausibility in reading the statute according to its plain terms."" ",Yes,test
86,"""Black's Law Dictionary tells us that intangible assets are amortized, while tangible assets are depreciated. Black's Law Dictionary 83, 441 (6th ed. 1990); see also Gregorcich, Amortization of Intangibles: A Reassessment of the Tax Treatment of Purchased Goodwill, 28 Tax Law. 251, 253 (1975) ('Amortization is the commonly accepted way of referring to depreciation of intangible property'). ",Yes,test
87,What is police? Sir William Blackstone has defined it in his Commentaries,Yes,test
88,"The former was applied “as a matter of law,” Pennco, supra, at 717, and not as the product of inference, which is “[a] process of reasoning by which a fact or proposition sought to be established is deduced as a logical consequence from other facts, or a state of facts, already proved or admitted.” Black's Law Dictionary 700 (5th ed. *815 1979).",Yes,test
89," The CFTC's interpretation violates the ordinary meaning of the key word 'in,' which is usually thought to be 'synonymous with [the] expressions ‘in regard to,’ ‘respecting,’ [and] ‘with respect to.’ Black's Law Dictionary 758 (6th ed.1990)"" ",Yes,test
90,"It's easy enough to imagine that a factfinder might not describe the plaintiff as lacking credibility—in the sense that she was lying or not “worthy of belief,” Black's Law Dictionary 448 (10th ed. 2014) (defining “credibility”)—yet find that her testimony on a key fact was outweighed by other evidence and thus unpersuasive or insufficient to prove the defendant's liability.",Yes,test
91,"One of its “principal tools,” ibid., is a levy, which is a “legally sanctioned seizure and sale of property,” Black's Law Dictionary 926 (8th ed.2004); see also § 6331(b) (“The term ‘levy’ as used in this title includes the power of distraint and seizure by any means”).",Yes,test
92,"A copyright, as the term imports, involves the right of publication and reproduction of works of art or literature. A copyright, as defined by Bouvier's Law Dictionary, Rawles's edition … is the exclusive privilege, secured according to certain legal forms, of printing, or otherwise multiplying, publishing, and vending copies of certain literary or artistic productions",Yes,test
93,"""We normally characterize this interpretive maxim as a presumption in favor of “scienter,” by which we mean a presumption that criminal statutes require the degree of knowledge sufficient to “mak[e] a person legally responsible for the consequences of his or her act or omission.” Black's Law Dictionary 1547 (10th ed. 2014)."" ",Yes,test
94,"A “matter” is “a subject under consideration, esp. involving a dispute or litigation” or “[s]omething *580 that is to be tried or proved; an allegation forming the basis of a claim or defense.” Black's Law Dictionary 992 (7th ed. 1999); The Oxford English Dictionary 481 (2d ed. 1989) (“matter” means “[a]n event, circumstance, fact, question, state or course of things, etc., which is or may be an object of consideration or practical concern; a subject, an affair, a business”); seeante, at 1775 – 1776 (embracing this view). ",Yes,test
95,"The term ‘privies' is not confined to persons interested in real estate (3 Tomlin, Law Dict. 218; 2 Bouv. 382), nor is it true that only the same parties, eo nomine, are bound by a judgment.",Yes,test
96,"""The word 'under' can mean [i]n accordance with. 18 Oxford English Dictionary 950 (2d ed.1989). See also Black's Law Dictionary 1525 (6th ed. 1990) ('according to').""",Yes,test
97,"""'Discharge' can be used to signify various means of extinguishing a legal duty. See generally Black's Law Dictionary 463 (6th ed. 1990)"" ",Yes,test
98,"The Court's use of the label “nontestimonial” is meaningful, for “[t]estimony properly means only such evidence as is delivered by a witness . . . , (either orally or in the form of affidavits or depositions.” Black's Law Dictionary 1324 (5th ed. 1979). Testimony is a statement of knowledge or belief by a witness as opposed to the mere display of a physical characteristic.",Yes,test
99,"At the time of the founding, as now, to “bear” meant to “carry.” See Johnson 161; Webster; T. Sheridan, A Complete Dictionary of the English Language (1796); 2 Oxford English Dictionary 20 (2d ed.1989) (hereinafter Oxford). When used with “arms,” however, the term has a meaning that refers to carrying for a particular purpose—confrontation.",Yes,test
100,"And ordinarily “trafficking” means some sort of commercial dealing. See Black's Law Dictionary 1534 (8th ed.2004) (defining *54 to “traffic” as to “trade or deal in (goods, esp. illicit drugs or other contraband)”)",Yes,test
101,Jail is a “local government's detention center where persons awaiting trial or those convicted of misdemeanors are confined.” Black's Law Dictionary 910 (9th ed. 2009).,Yes,test
102,"These legal terms of art refer to formal procedures by which one person gains a degree of control over property otherwise subject to the control of another, and generally involve some form of judicial authorization. See, e.g., Black's Law Dictionary 123 (7th ed.1999) (defining “provisional attachment” as a “prejudgment attachment in which the debtor's property is seized so that if the creditor ultimately prevails, the creditor will be assured of recovering on the judgment .... ",Yes,test
103,"At the time Congress drafted the Act, Black's Law Dictionary defined “actual damages” as “[r]eal, substantial and just damages, or the amount awarded to a complainant in compensation for his actual and real loss or injury” and as “[s]ynonymous with ‘compensatory damages.’ ” Black's Law Dictionary 467 (rev. 4th ed.1968) (hereinafter Black's).",Yes,test
104,"""…one might look to contemporaneous dictionaries, which defined “levy” as the legislative function of laying or imposing a tax and the executive functions of assessing, recording, and collecting the amount a taxpayer owes. See Black's Law Dictionary 1093 (3d ed. 1933)""",Yes,test
105,"Similarly, a “law-enforcement *583 agency” is charged with “the apprehension of alleged offenders as well as crime detection and prevention.” R. De Sol, Crime Dictionary 82 (1982) (emphasis added).",Yes,test
106,"""The ordinary meaning of 'notwithstanding' is 'in spite of,' or 'without prevention or obstruction from or by.'"" (then cites to both Ordinary and Legal D)  ",Yes,test
107,"It has aptly been said that “good faith” “ ‘is an elusive idea, taking on different meanings and emphases as we move from one context to another.’ ” Black's Law Dictionary 836 (11th ed. 2019).",Yes,test
108,"The ordinary meaning of these words is a broad one—“to stand in some relation; to have bearing or concern; to pertain; refer; to bring into association with or connection with,” Black's Law Dictionary 1158 (5th ed. 1979)—and the words thus express a broad pre-emptive purpose. ",Yes,test
109,"The term “political gerrymander” has been defined as “[t]he practice of dividing a geographical area into electoral districts, often of highly irregular shape, to give one political party an unfair advantage by diluting the opposition's voting strength.” Black's Law Dictionary 696 (7th ed.1999).",Yes,test
110,"To “incur,” one *must “ suffer or bring on oneself (a liability or expense).” Black's Law Dictionary 836 (9th ed.2009); see also Webster's Third New International Dictionary 1146 (1976) ( “to ... become liable or subject to: bring down upon oneself”); Random House Dictionary 722 (1966) (“to become liable or subject to through one's own action; bring upon oneself”).",Yes,test
