index,question,answer,split
25,"Consider the country of Afghanistan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
26,"Consider the country of Afghanistan. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
27,"Consider the country of Afghanistan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
28,"Consider the country of Afghanistan. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
29,"Consider the country of Afghanistan. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",Yes,test
30,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,test
31,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
32,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
33,"Consider the country of Angola. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
34,"Consider the country of Angola. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
35,"Consider the country of Angola. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
36,"Consider the country of Angola. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
37,"Consider the country of Angola. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
38,"Consider the country of Angola. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
39,"Consider the country of Angola. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
40,"Consider the country of Angola. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
41,Consider the country of Angola. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
42,Consider the country of Angola. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
43,Consider the country of Angola. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
44,"Consider the country of Angola. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
45,Consider the country of Angola. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,Yes,test
46,Consider the country of Angola. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
47,"Consider the country of Angola. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
48,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
49,"Consider the country of Angola. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
50,"Consider the country of Angola. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
51,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
52,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
53,"Consider the country of Angola. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
54,"Consider the country of Angola. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
55,"Consider the country of Angola. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
56,"Consider the country of Angola. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
57,"Consider the country of Angola. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
58,"Consider the country of Angola. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
59,"Consider the country of Angola. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
60,"Consider the country of Angola. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
61,"Consider the country of Angola. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
62,"Consider the country of Angola. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
63,"Consider the country of Angola. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
64,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
65,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
66,"Consider the country of Angola. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
67,"Consider the country of Albania. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
68,"Consider the country of Albania. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
69,"Consider the country of Albania. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",Yes,test
70,"Consider the country of Albania. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
71,"Consider the country of Albania. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
72,"Consider the country of Albania. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
73,"Consider the country of Albania. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
74,"Consider the country of Albania. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
75,Consider the country of Albania. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
76,Consider the country of Albania. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
77,Consider the country of Albania. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
78,"Consider the country of Albania. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
79,Consider the country of Albania. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
80,Consider the country of Albania. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
81,"Consider the country of Albania. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
82,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
83,"Consider the country of Albania. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
84,"Consider the country of Albania. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
85,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
86,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
87,"Consider the country of Albania. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,test
88,"Consider the country of Albania. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
89,"Consider the country of Albania. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
90,"Consider the country of Albania. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
91,"Consider the country of Albania. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",No,test
92,"Consider the country of Albania. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
93,"Consider the country of Albania. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,test
94,"Consider the country of Albania. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
95,"Consider the country of Albania. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
96,"Consider the country of Albania. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
97,"Consider the country of Albania. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",Yes,test
98,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
99,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
100,"Consider the country of Albania. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",Yes,test
101,"Consider the country of United Arab Emirates. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
102,"Consider the country of United Arab Emirates. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
103,"Consider the country of United Arab Emirates. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
104,"Consider the country of United Arab Emirates. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
105,"Consider the country of United Arab Emirates. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
106,"Consider the country of United Arab Emirates. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
107,"Consider the country of United Arab Emirates. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
108,"Consider the country of United Arab Emirates. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
109,Consider the country of United Arab Emirates. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
110,Consider the country of United Arab Emirates. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
111,Consider the country of United Arab Emirates. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,Yes,test
112,"Consider the country of United Arab Emirates. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
113,Consider the country of United Arab Emirates. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
114,Consider the country of United Arab Emirates. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
115,"Consider the country of United Arab Emirates. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
116,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
117,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
118,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
119,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",No,test
120,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
121,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
122,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
123,"Consider the country of United Arab Emirates. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
124,"Consider the country of United Arab Emirates. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
125,"Consider the country of United Arab Emirates. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
126,"Consider the country of United Arab Emirates. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
127,"Consider the country of United Arab Emirates. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
128,"Consider the country of United Arab Emirates. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
129,"Consider the country of United Arab Emirates. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
130,"Consider the country of United Arab Emirates. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
131,"Consider the country of United Arab Emirates. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
132,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
133,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
134,"Consider the country of United Arab Emirates. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
135,"Consider the country of Argentina. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",No,test
136,"Consider the country of Argentina. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
137,"Consider the country of Argentina. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",Yes,test
138,"Consider the country of Argentina. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
139,"Consider the country of Argentina. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",No,test
140,"Consider the country of Argentina. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
141,"Consider the country of Argentina. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
142,"Consider the country of Argentina. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
143,Consider the country of Argentina. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
144,Consider the country of Argentina. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
145,Consider the country of Argentina. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
146,"Consider the country of Argentina. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,test
147,Consider the country of Argentina. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
148,Consider the country of Argentina. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
149,"Consider the country of Argentina. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
150,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
151,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
152,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,test
153,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",No,test
154,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
155,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,test
156,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
157,"Consider the country of Argentina. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
158,"Consider the country of Argentina. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",No,test
159,"Consider the country of Argentina. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
160,"Consider the country of Argentina. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
161,"Consider the country of Argentina. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
162,"Consider the country of Argentina. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
163,"Consider the country of Argentina. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
164,"Consider the country of Argentina. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
165,"Consider the country of Argentina. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
166,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
167,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",Yes,test
168,"Consider the country of Argentina. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
169,"Consider the country of Armenia. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
170,"Consider the country of Armenia. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
171,"Consider the country of Armenia. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
172,"Consider the country of Armenia. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
173,"Consider the country of Armenia. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
174,"Consider the country of Armenia. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
175,"Consider the country of Armenia. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
176,"Consider the country of Armenia. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
177,Consider the country of Armenia. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
178,Consider the country of Armenia. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
179,Consider the country of Armenia. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
180,"Consider the country of Armenia. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
181,Consider the country of Armenia. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,Yes,test
182,Consider the country of Armenia. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
183,"Consider the country of Armenia. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,test
184,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
185,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
186,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,test
187,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
188,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",Yes,test
189,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,test
190,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
191,"Consider the country of Armenia. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
192,"Consider the country of Armenia. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
193,"Consider the country of Armenia. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
194,"Consider the country of Armenia. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
195,"Consider the country of Armenia. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,test
196,"Consider the country of Armenia. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",Yes,test
197,"Consider the country of Armenia. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
198,"Consider the country of Armenia. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",Yes,test
199,"Consider the country of Armenia. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
200,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
201,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
