task_name,splits_found,merged_size,train_size,test_size
opp115_data_security,train;test,746,8.0,738
opp115_do_not_track,train;test,64,8.0,56
opp115_first_party_collection_use,train;test,3042,8.0,3034
opp115_international_and_specific_audiences,train;test,702,8.0,694
opp115_policy_change,train;test,370,8.0,362
opp115_third_party_sharing_collection,train;test,2372,8.0,2364
"opp115_user_access,_edit_and_deletion",train;test,460,8.0,452
opp115_user_choice_control,train;test,1262,8.0,1254
oral_argument_question_purpose,train;test,319,7.0,312
overruling,train;test,2400,6.0,2394
personal_jurisdiction,train;test,54,4.0,50
privacy_policy_entailment,train;test,4343,8.0,4335
privacy_policy_qa,train;test,10931,8.0,10923
proa,train;test,100,5.0,95
rule_qa,test,50,,50
sara_entailment,train;test,276,4.0,272
sara_numeric,train;test,100,4.0,96
scalr,test,571,,571
ssla_company_defendants,train;test,1231,3.0,1228
ssla_individual_defendants,train;test,1015,3.0,1012
ssla_plaintiff,train;test,1036,3.0,1033
successor_liability,train;test,50,3.0,47
supply_chain_disclosure_best_practice_accountability,train;test,387,8.0,379
supply_chain_disclosure_best_practice_audits,train;test,387,8.0,379
supply_chain_disclosure_best_practice_certification,train;test,386,8.0,378
supply_chain_disclosure_best_practice_training,train;test,387,8.0,379
supply_chain_disclosure_best_practice_verification,train;test,387,8.0,379
supply_chain_disclosure_disclosed_accountability,train;test,386,8.0,378
supply_chain_disclosure_disclosed_audits,train;test,387,8.0,379
supply_chain_disclosure_disclosed_certification,train;test,386,8.0,378
supply_chain_disclosure_disclosed_training,train;test,387,8.0,379
supply_chain_disclosure_disclosed_verification,train;test,387,8.0,379
telemarketing_sales_rule,train;test,51,4.0,47
textualism_tool_dictionaries,train;test,111,4.0,107
textualism_tool_plain,train;test,169,4.0,165
ucc_v_common_law,train;test,100,6.0,94
unfair_tos,train;test,3822,9.0,3813
