index,text,answer,split
4,"provided that (a) except to the extent provided in Section 5.13, no Subsidiary may be designated (or re-designated) as an Unrestricted Subsidiary, (b) notwithstanding anything to the contrary in this Agreement, no Subsidiary may be designated as an Unrestricted Subsidiary if it was previously designated an Unrestricted Subsidiary, (c) no Unrestricted Subsidiary may own, or hold an exclusive license in, any Intellectual Property that is material to the operation of the business of the Borrower and its Subsidiaries (taken as a whole) (as determined by the Borrower in good faith) and (d) no Person may be designated as an Unrestricted Subsidiary if such Person is not an Unrestricted Subsidiary or is a Guarantor under any agreement, document or instrument evidencing any Incremental Equivalent Debt, Credit Agreement Refinancing Indebtedness or other Indebtedness in excess of the Threshold Amount, or any Permitted Refinancing in respect of the foregoing, or has otherwise guaranteed or given assurances of payment or performance under or in respect of any such Indebtedness for purposes of calculating Investments permitted under Section 6.6.",Yes,test
5,"  Notwithstanding anything in this Agreement or any other Loan Document to the contrary, in no event shall the Borrower or any Restricted Subsidiary be permitted to transfer or dispose of any Material IP Rights (other than non-exclusive licenses of Material Intellectual Property) to any Unrestricted Subsidiary.",Yes,test
6,"Notwithstanding anything in this Agreement or any other Loan Document to the contrary, in no event shall the Borrower or any Restricted Subsidiary be permitted to transfer or dispose of any Material IP Rights (other than non-exclusive licenses of Material Intellectual Property) to any Unrestricted Subsidiary.",Yes,test
7,"provided that notwithstanding the foregoing, in no event shall the Parent Borrower or any Restricted Subsidiary transfer (whether by Investment or otherwise) any intellectual property (or any rights to use any intellectual property) that is material, individually or in the aggregate, to the operations of the Parent Borrower and its Restricted Subsidiaries to any Unrestricted Subsidiary.",Yes,test
8,"provided that (a) immediately before and after giving effect to such designation on a Pro Forma Basis, no Specified Event of Default shall have occurred and be continuing, (b) no Subsidiary shall be an Unrestricted Subsidiary unless it is also an Unrestricted Subsidiary for purposes of the Second Lien Credit Agreement and the Notes Documents and (c) no Subsidiary shall be designated as an Unrestricted Subsidiary if such Subsidiary owns Material Intellectual Property at the time of such designation.  Notwithstanding anything to the contrary herein, any Disposition in the form of a transfer of title (or transfer of similar effect) of Material Intellectual Property by Loan Parties in Unrestricted Subsidiaries shall not be permitted;",Yes,test
9,"Notwithstanding anything to the contrary under this Section 6.04, no Loan Party shall sell, transfer, assign or dispose of Material Intellectual Property to any non-Loan Party Subsidiary unless such transfer is for a bona fide business purpose, as determined in good faith by the Company.  Notwithstanding anything to the contrary under this Section 6.05, no Loan Party shall sell, transfer, assign or dispose of Material Intellectual Property to any non-Loan Party Subsidiary unless such transfer is for a bona fide business purpose as determined in good faith by the Company.",Yes,test
10,"Notwithstanding the foregoing, the Borrower shall not, nor shall it permit any of its Restricted Subsidiaries to transfer or otherwise dispose of any intellectual property listed on Schedule 1.01(3) to any Unrestricted Subsidiary (including by designation of a Restricted Subsidiary as an Unrestricted Subsidiary);  exclusive license of any intellectual property to any Unrestricted Subsidiary or (y) any exclusive lease or exclusive license of any intellectual property to any Unrestricted Subsidiary that constitutes an exclusive lease or exclusive license solely with respect or the use of such intellectual property in a particular geography in which the Borrower and its Restricted Subsidiaries do not then engage in substantial operations, or a particular business or product line with respect to which the Borrower and its Restricted Subsidiaries are not then engaged, or is not material to the business of the Borrower and its Restricted Subsidiaries, taken as a whole.",Yes,test
11,"(d) (i) Notwithstanding anything herein to the contrary in this Section 6.13, if any Restricted Subsidiary owns or holds any Material Intellectual Property, no such Restricted Subsidiary or Loan Party may be designated as an Unrestricted Subsidiary, (ii) neither the Borrower nor any of its Restricted Subsidiaries shall make any Investment in, Restricted Payment to or otherwise dispose of such Material Intellectual Property (other than (A) the non-exclusive licenses, sublicenses or cross-licenses, and (B) other intercompany disposition of such intellectual property that does not effectively result in the transfer of beneficial ownership of such intellectual property) to, any Unrestricted Subsidiary and (iii) no Unrestricted Subsidiary shall own, or hold any such Material Intellectual Property.",Yes,test
12,"Material Intellectual Property: any Intellectual Property owned by the Company or any Restricted Subsidiary that is material to the operations of the business of the Company and its Restricted Subsidiaries, taken as a whole.  Notwithstanding any provision to the contrary elsewhere in this Agreement, the consummation of any transaction (whether by way of sale, conveyance, transfer, or other disposition, and whether in a single transaction or series of related transactions) that results in the transfer of Material Intellectual Property from the Company or any Restricted Subsidiary to an Unrestricted Subsidiary shall not constitute a Permitted Investment.  provided, that notwithstanding anything to the contrary in this Subsection 8.5, the Company shall not, and shall not permit any Restricted Subsidiary to, directly or indirectly, consummate any transaction (whether by way of sale, conveyance, transfer, contribution, distribution or other disposition, and whether in a single transaction or a series of related transactions) that results in the transfer of any Business Line from the Company or any Restricted Subsidiary to any Unrestricted Subsidiary (including by way of designation of an Unrestricted Subsidiary), any Sponsor or any Affiliate of any Sponsor other than (x) to any portfolio company affiliate of any Sponsor or Affiliate thereof, so long as such sale, distribution or transfer is undertaken in compliance with Subsection 8.4 (any such Asset Disposition, an Affiliated Asset Disposition) or (y) in connection with a bona fide third party transaction (as determined by the Company in good faith, which determination shall be conclusive).",Yes,test
13,"Notwithstanding anything to the contrary in this Agreement, no Unrestricted Subsidiary shall be permitted to own any intellectual property that is material to the business of the Borrower and its Subsidiaries, taken as a whole, at any time.",Yes,test
14,"Notwithstanding any provision to the contrary elsewhere in this Agreement, the consummation of any transaction (whether by way of sale, conveyance, transfer, or other disposition, and whether in a single transaction or series of related transactions) that results in the transfer of Material Intellectual Property from the Parent Borrower or any Restricted Subsidiary to an Unrestricted Subsidiary shall not constitute a Permitted Investment.",Yes,test
15,"Subsidiary for the purpose of (x) any Subordinated Indebtedness, Incremental Equivalent Debt, Permitted Ratio Debt or Indebtedness incurred under Section 6.01(n), each, in an aggregate principal amount exceeding $10,000,000, or (y) the ABL Facility, (iii) as of the date of the designation thereof, no Unrestricted Subsidiary owns any Equity Interests in any Restricted Subsidiary of any Borrower or holds any Indebtedness of or any Lien on any property of any Borrower or any Restricted Subsidiary (unless such Borrower or such Restricted Subsidiary is permitted to incur such Indebtedness or grant such Lien in favor of such Unrestricted Subsidiary pursuant to Sections 6.01 and 6.02 and the relevant transaction with such Person is permitted pursuant to Section 6.09) and (iv) no Unrestricted Subsidiary may own (or be licensee of) any material intellectual property or other material assets, or own the Equity Interests of any Subsidiary that owns (or is the licensee of) material intellectual property or other material assets, at any time.",Yes,test
16,"provided, that the Borrower shall only be permitted to so designate a new Unrestricted Subsidiary after the Closing Date, so long as (a) no Event of Default would result therefrom, (b) such Unrestricted Subsidiary shall be capitalized (to the extent capitalized by the Borrower or any of its Subsidiaries) through Investments as permitted by, and in compliance with, Section 6.04, and any prior or concurrent Investments in such Subsidiary by the Borrower or any of its Subsidiaries shall be deemed to have been made under Section 6.04, (c) without duplication of clause (b), any net assets owned by such Unrestricted Subsidiary at the time of the initial designation thereof shall be treated as Investments pursuant to Section 6.04 and (d) no Subsidiary may be designated as an Unrestricted Subsidiary if such Subsidiary owns Intellectual Property material to the business of the Borrower and its Subsidiaries, taken as a whole;  Notwithstanding the foregoing, the Borrower shall not, nor shall it permit any Subsidiary to, (x) transfer (including by way of sale, investment, exclusive license or designation of a Subsidiary as an Unrestricted Subsidiary) any Intellectual Property that is material to the business of the Borrower and Subsidiaries, taken as a whole, to any Unrestricted Subsidiary or (y) transfer legal or beneficial ownership of, or an exclusive license to, any Intellectual Property that is material to the business of the Borrower and the Subsidiaries, taken as a whole, to Holdings or any Subsidiary that is not a Loan Party (including by way of sale or investment).  Notwithstanding the foregoing, the Borrower shall not, nor shall it permit any Subsidiary to, (x) transfer (including by way of sale, investment, exclusive license or designation of a Subsidiary as an Unrestricted Subsidiary) any Intellectual Property that is material to the business of the Borrower and the Subsidiaries taken as a whole to any Unrestricted Subsidiary and (y) transfer legal or beneficial ownership of, or an exclusive license to, any Intellectual Property that is material to the business of the Borrower and the Subsidiaries taken as a whole to any Unrestricted Subsidiary to Holdings or any Subsidiary that is not a Loan Party (including by way of sale or investment).",Yes,test
17,"Notwithstanding anything to the contrary herein or in any other Loan Document, no Material Intellectual Property shall be permitted to be transferred to any Unrestricted Subsidiary, including by designation hereunder and, in each case, other than licenses of IP Rights in the ordinary course of business.",Yes,test
18,"provided that, in no event clause shall clause (y) of this Section 7.02(q) be used by Holdings, the Borrower or any Restricted Subsidiary to transfer, contribute, exclusively license or otherwise dispose of Intellectual Property that is material to the Borrower and its Restricted Subsidiaries, taken as a whole (as determined in good faith by the Borrower), to Unrestricted Subsidiaries, other than in the case of (x) any non-exclusive lease or non-exclusive license of an intellectual property to any Unrestricted Subsidiary, (y) any exclusive lease or exclusive license of any intellectual property to an Unrestricted Subsidiary that constitutes an exclusive lease or exclusive license solely with respect or the use of such intellectual property in a particular geography in which the Borrower and its Restricted Subsidiaries do not then engage in substantial operations, or a particular business or product line with respect to which the Borrower and it Restricted Subsidiaries are not then engaged, or is not material to the business of the Borrower and its Restricted Subsidiaries, taken as a whole, or (z) development by such Unrestricted Subsidiaries of intellectual property;",Yes,test
19,"provided, that the Borrower shall only be permitted to form or designate a new Unrestricted Subsidiary after the Closing Date so long as (a) no Event of Default has occurred and is continuing or would result therefrom, (b) such Unrestricted Subsidiary shall be capitalized (to the extent capitalized by the Borrower or any of the Subsidiaries) through Investments as permitted by, and in compliance with, Section 6.04, at such time of designation, and any prior or concurrent Investments in such Subsidiary by the Borrower or any of the Subsidiaries shall be deemed to have been made under Section 6.04, with the amount of such Investment being deemed the fair market value of such Unrestricted Subsidiary on the date of designation, (c) without duplication of clause (b), any net assets owned by such Unrestricted Subsidiary at the time of the initial designation thereof shall be treated as Investments pursuant to Section 6.04, (d) such Unrestricted Subsidiary does not own any Equity Interests or Indebtedness of, or hold a Lien on any property of the Borrower and its Subsidiaries (in each case, except as permitted under this Agreement) and (e) such Subsidiary that is designated as an Unrestricted Subsidiary does not own Material Intellectual Property, and, notwithstanding anything to the contrary herein, no Material Intellectual Property may be transferred to an Unrestricted Subsidiary by a Loan Party, and (3) any subsidiary of an Unrestricted Subsidiary.  (q) leases or subleases, licenses or sublicenses (including with respect to Intellectual Property) granted to others in the ordinary course of business not adversely interfering in any material respect with the business of the Borrower and the Subsidiaries, taken as a whole and not constituting a Disposition of Material Intellectual Property by a Loan Party to an Unrestricted Subsidiary;",Yes,test
20,"provided, that the Borrower shall only be permitted to form or designate a new Unrestricted Subsidiary after the Closing Date so long as (a) no Event of Default has occurred and is continuing or would result therefrom, (b) such Unrestricted Subsidiary shall be capitalized (to the extent capitalized by the Borrower or any of the Subsidiaries) through Investments as permitted by, and in compliance with, Section 6.04, and any prior or concurrent Investments in such Subsidiary by the Borrower or any of the Subsidiaries shall be deemed to have been made under Section 6.04, with the amount of such Investment being deemed the fair market value of such Unrestricted Subsidiary on the date of designation, (c) without duplication of clause (b), any net assets owned by such Unrestricted Subsidiary at the time of the initial designation thereof shall be treated as Investments pursuant to Section 6.04, (d) such Unrestricted Subsidiary does not own any Equity Interests or Indebtedness of, or hold a Lien on any property of the Borrower and its Subsidiaries (in each case, except as permitted under this Agreement) and (e) such Unrestricted Subsidiary does not own, nor hold any exclusive licenses of, any Material Intellectual Property (except in the case of any Securitization Entity in connection with or in contemplation of a  (q) leases or subleases, licenses or sublicenses (including with respect to Intellectual Property) granted to others in the ordinary course of business not adversely interfering in any material respect with the business of the Borrower and the Subsidiaries, taken as a whole and not constituting a Disposition of Material Intellectual Property to an Unrestricted Subsidiary (other than any Securitization Entity in connection with or in contemplation of a Permitted Securitization Financing);",Yes,test
21,"(b) Subject to Section 6.13(c) below, Holdings may not (x) designate any Restricted Subsidiary as an Unrestricted Subsidiary, or (y) designate an Unrestricted Subsidiary as a Restricted Subsidiary, in each case unless (A) no Default or Event of Default exists or would result therefrom and (B) in the case of clause (x) only, (i) the Subsidiary to be so designated does not (directly, or indirectly through its Subsidiaries) own any Equity Interests or Indebtedness of, or own or hold any Lien on any property of, the Borrower or any Restricted Subsidiary unless such Restricted Subsidiaries are concurrently designated as Unrestricted Subsidiaries or (ii) the Subsidiary to be so designated does not, at the time of such designation, own any Material Intellectual Property or hold any exclusive license with respect to any Material Intellectual Property (and no investments of such intellectual property may be made in an Unrestricted Subsidiary after the date of such designation);",Yes,test
22,"The Borrower may, after the Restatement Effective Date, designate any Subsidiary to be an Unrestricted Subsidiary by delivering to the Administrative Agent a certificate of a Financial Officer of the Borrower specifying such designation and certifying that such designated Subsidiary satisfies the requirements set forth in this definition (and including reasonably detailed calculations demonstrating satisfaction of the requirement in clause (b) below)? provided that no Subsidiary may be designated as an Unrestricted Subsidiary unless (a) no Default or Event of Default has occurred and is continuing or would result therefrom, (b) immediately after giving Pro Forma Effect to such designation, the Total Net Leverage Ratio, determined as of the last day of the then most recently ended Test Period, shall not exceed 4.64:1.00, (c) such Subsidiary does not own any Equity Interests in any of the Restricted Subsidiaries, (d) such Subsidiary does not own (or hold or control by lease, exclusive license or otherwise) any asset (including any Intellectual Property) that is material to the operation in the ordinary course of business of (i) the Borrower and the Restricted Subsidiaries, taken as a whole, or (ii) the Borrower and the Restricted Subsidiaries that are Domestic Subsidiaries, taken as a whole, (e) each Subsidiary of such Subsidiary has been designated as (and, for so long as it is a Subsidiary of the Borrower, continues as) an Unrestricted Subsidiary in accordance with this definition, (f) the Investments in such Unrestricted Subsidiary by the Borrower and the Restricted Subsidiaries (including, after giving effect to the next sentence, those resulting from such designation) are permitted under Section 6.6, (g) such Subsidiary shall have been or will promptly be designated an unrestricted subsidiary (or otherwise not be subject to the covenants) under any Permitted Credit Agreement Refinancing Indebtedness and any Permitted Incremental Equivalent Indebtedness and (h) no Subsidiary may be designated as an Unrestricted Subsidiary if it was previously an Unrestricted Subsidiary that has been redesignated as a Restricted Subsidiary.",Yes,test
23,"Notwithstanding the foregoing, in no event shall any Credit Party make, or permit any other Credit Party to make, any disposition (whether pursuant to a sale, lease, license, transfer, Investment, Restricted Payment or otherwise) in or to any Affiliate or Subsidiary that is not a Credit Party consisting of Intellectual Property (or exclusive rights thereto) that is material to the business of AmSurg Holdings and its Subsidiaries, taken as a whole, excluding non-exclusive licenses granted in the ordinary course of business.  provided that, notwithstanding the foregoing, in no event shall any Credit Party make, or permit any other Credit Party to make, any Restricted Payment or Investment in or to any Affiliate or Subsidiary that is not a Credit Party consisting of Intellectual Property (or exclusive rights thereto) that is material to the business of AmSurg Holdings and its Subsidiaries, taken as a whole, excluding non-exclusive licenses granted in the ordinary course of business or consistent with the Permitted Shared Services Agreement.",Yes,test
24,"      (g) no Restricted Subsidiary may be designated as an Unrestricted Subsidiary unless such Restricted Subsidiary does not have legal or beneficial ownership of, or an exclusive license to, any IP Rights constituting Collateral, in each case, that is material to the business of the Borrower and its Restricted Subsidiaries, taken as a whole and the Borrower and its Restricted Subsidiaries shall not be permitted to transfer to any Unrestricted Subsidiary legal or beneficial ownership of, or an exclusive license to, any IP Rights constituting Collateral, in each case, that is material to the business of the Borrower and its Restricted Subsidiaries, taken as a whole;",Yes,test
25,"provided, that notwithstanding the foregoing, no Loan Party shall directly or indirectly Dispose of (whether in one or a series of transactions) any Material Intellectual Property (as defined in the Security Agreement) to any non-Loan Party.  provided, that notwithstanding the foregoing, no Loan Party shall make any Restricted Payment of any Material Intellectual Property (as defined in the Security Agreement) to any non-Loan Party.",Yes,test
26,"Notwithstanding anything herein to the contrary, the Borrower shall not, nor shall it permit any of its Restricted Subsidiaries to, Dispose or consummate an Investment of intellectual property and/or IP Rights (in each case, except (a) as permitted by Section 6.06(dd) or Section 6.07(t) and (b) to the extent in the good faith determination of the Borrower such intellectual property and/or IP Rights is not material to the operation of the Borrower and its Restricted Subsidiaries, taken as a whole) to or in any Unrestricted Subsidiary.",Yes,test
27,"Holdco will not, and will not permit any Subsidiary to, transfer any Material Intellectual Property to any Affiliate of Holdco that is not a Loan Party, whether by means of a Disposition, an Investment or a Restricted Payment.",Yes,test
28,"Material IP Rights means any IP Rights of any Loan Party that are material to the business of the Loan Parties, taken as a whole (as determined by the Administrative Borrower in good faith at the time of the initial investment, initial acquisition, initial transfer or other disposition, or at the time of such designation as an Unrestricted Subsidiary, as the case may be).  provided that (i) immediately before and after such designation, no Event of Default under Section 8.01(a) or Section 8.01(f) shall have occurred and be continuing, (ii) no Subsidiary may be designated as an Unrestricted Subsidiary if, after such designation, it would be a Restricted Subsidiary for the purpose of the Second Lien Facility, any Junior Financing, any Incremental Equivalent Debt, any Refinancing Equivalent Debt or any Permitted Refinancing of any of the foregoing and (iii) no Subsidiary may be designated as an Unrestricted Subsidiary if such Subsidiary owns any Material IP Rights.  Notwithstanding anything to the contrary herein, Holdings or any Restricted Subsidiary shall not transfer Material IP Rights to an Unrestricted Subsidiary.",Yes,test
29,"IP Separation Transaction means (a) any Disposition (other than the granting of a non-exclusive license) by any Loan Party of any Material Intellectual Property to any subsidiary that is not a Loan Party (including, for the avoidance of doubt, any Unrestricted Subsidiary) (other than any bona fide operational joint venture established for legitimate business purposes) and/or (b) any Investment by any Loan Party in the form of a contribution of Material Intellectual Property to any subsidiary that is not a Loan Party (including, for the avoidance of doubt, any Unrestricted Subsidiary) (other than any bona fide operational joint venture established for legitimate business purposes), in each case, which Material Intellectual Property is, following the consummation of such Disposition or Investment, as the case may be, licensed by any Loan Party from the recipient of such Material Intellectual Property for use by any Loan Party in the ordinary course of its business (other than pursuant to a bona fide transition service or similar arrangement or in the same manner as other customers, suppliers or commercial partners of the relevant transferee generally); provided that, notwithstanding the foregoing, to the extent any such Disposition or Investment, as the case may be, would not materially interfere with the ongoing business activities of the Borrower and its Restricted Subsidiaries, taken as a whole, in the ordinary course of business and is made on an arms-length basis, such Disposition or Investment, as applicable, shall not constitute an IP Separation Transaction.  Material Intellectual Property means any intellectual property owned by any Loan Party that is, in the good faith determination of the Borrower, material to the operation of the business of the Borrower and its Restricted Subsidiaries, taken as a whole (after giving effect to any IP Separation Transaction).  provided that (a) after giving effect to such designation, no Specified Event of Default exists (including after giving effect to the reclassification of Investments in, Indebtedness of and Liens on the assets of, the applicable Restricted Subsidiary or Unrestricted Subsidiary), (b) any subsidiary of an Unrestricted Subsidiary shall be deemed to be an Unrestricted Subsidiary, (c) no subsidiary may be designated an Unrestricted Subsidiary if it is a Restricted Subsidiary for purposes of the ABL Credit Agreement or the Second Lien Credit Agreement and (d) no subsidiary may be designated an Unrestricted Subsidiary if it owns Material Intellectual Property at the time of such designation.",Yes,test
30,"provided, that (i) immediately before and after such designation, no Event of Default exists (including after giving effect to the reclassification of Investments in, Indebtedness of and Liens on the assets of, the applicable Restricted Subsidiary or Unrestricted Subsidiary), (ii) as of the date of the designation thereof, no Unrestricted Subsidiary shall own any Capital Stock in any Restricted Subsidiary of the Borrower or hold any Indebtedness of or any Lien on any property of the Borrower or its Restricted Subsidiaries and (iii) no subsidiary may be designated as an Unrestricted Subsidiary if it owns intellectual property that is material to the business of the Borrower and its Restricted Subsidiaries, taken as a whole (such intellectual property, Material Intellectual Property), at the time of designation, other than in connection with transactions that have a bona fide business purpose so long as such transactions are not undertaken to facilitate a financing or a Restricted Payment or undertaken in connection with a liability management transaction.  Notwithstanding anything contained in this Section 6.05 to the contrary, in no event shall (a) the Borrower or any Restricted Subsidiary be permitted to make or own any Investment in the Holdings direct or indirect equityholders constituting Material Intellectual Property (other than pursuant to a bona fide transition service or similar arrangement or in the same manner as other customers, suppliers or commercial partners of the relevant transferee generally) or (b) any Restricted Subsidiary transfer ownership of, or license on an exclusive basis, any Material Intellectual Property to any Unrestricted Subsidiary, other than in connection with transactions that have a bona fide business purpose and so long as such transactions are not undertaken to facilitate a financing or a Restricted Payment or undertaken in connection with a liability management transaction.  Notwithstanding anything contained in this Section 6.06 to the contrary, in no event shall (a) the Borrower or any Restricted Subsidiary be permitted to make any Disposition of Material Intellectual Property to Holdings direct or indirect equityholders (other than pursuant to a bona fide transition service or similar arrangement or in the same manner as other customers, suppliers or commercial partners of the relevant transferee generally) or (b) any Restricted Subsidiary make any Disposition, constituting either a transfer of ownership or an exclusive license, of any Material Intellectual Property to any Unrestricted Subsidiary, other than in connection with transactions that have a bona fide business purpose and so long as such transactions are not undertaken to facilitate a financing or a Restricted Payment or undertaken in connection with a liability management transaction.",Yes,test
