index,question,text,answer,split
705,what areas of my phone/computer does this gain access to?,"If you do not want us to collect location information, you may disable that feature on your mobile device.",Relevant,test
706,does it listen in on audio via the mic?                                                            ,connect or link to any Site via social networking sites;,Relevant,test
707,do you sell my genetic data?,"You may withdraw your consent at any time, however, the withdrawal of your consent will not affect the lawfulness of processing based on consent before its withdrawal.",Relevant,test
708,what data does it collect,"The PeopleFun username will be public and will be shown to other users, but will only permit access to information that is considered public or that you have designated as public in your user profile settings.",Relevant,test
709,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"Location Data, Log Data and your device.Keep automatically collects Log Data from your device to enable and assist Keeps functionalities.",Relevant,test
710,does it share my purchase information with others?                                        ,"Transaction Information: information you provide when you interact with us and the Site, such as the Groupon vouchers you are interested in, purchase and redeem; email and other communications; and how you interact withBusiness Partnersand ourVendors; and",Relevant,test
711,will my information be shared with other companies for marketing?,"We will never share with or sell the information gained through the use of Apple HealthKit, such as age, weight and heart rate data, to advertisers or other agencies without your authorization.",Relevant,test
712,are there other people who can access my information?,We may keep activity data on a non-identifiable basis to improve our services.,Relevant,test
713,can other customers i connect with access my personal information?,"By participating in a referral program or by choosing to share information with another person, you confirm that the person has given you consent for 23andMe to communicate (eg, via email) with him or her.",Relevant,test
714,what kind of security protocol does groupon use to protect data and privacy of its users? ,"If you have any questions about security on our Web site, you can contact us at privacy@groupon.com.",Relevant,test
715,why do you need those permissions?,We value your every uploaded training information as it is crucial for us to better understand which training class is more helpful to you.,Relevant,test
716,can anyone view my account?,"(b) App Providers and Other Third-Parties:We may disclose your information to service providers and other third-parties under contract who help with providing you and others our Services on our behalf or other services provided by third-parties via our Services (such as, but not limited to, fraud and spam investigations, payment processing, site analytics and operations, providing special partnership features in our service either on an aggregate non identifiable basis, or using a unique identifier which is not attributable to you).",Relevant,test
717,how does fiverr protect freelancers' personal information?,We contractually ensure that any third party processing your personal information equally provide for confidentiality and integrity of your data in a secure way.,Relevant,test
718,what information will this app have access to of mine?,We value your every uploaded training information as it is crucial for us to better understand which training class is more helpful to you.,Relevant,test
719,is my search and purchase history shared with advertisers?  ,"Affiliatemeans an entity owned, directly or indirectly, by Groupon, Inc. or that is controlled by or under common control with Groupon, Inc., and also includes joint ventures entered into by Groupon, Inc. and/or its Affiliates.",Relevant,test
720,is my search and purchase history shared with advertisers?  ,"Facilitate and fulfill orders placed on the Site andOther Programs for example, for Groupon vouchers and other goods and services, including tracking redemption;",Relevant,test
721,what type of access does it have on my device?,We will store those contacts for purposes of helping you and your contacts make connections through our Services.,Relevant,test
722,will it sell any of the data that it collects?,"These ad serving technologies are integrated into Services; if you do not want to be subject to this technology, do not use or access Services.",Relevant,test
723,what will you do with my dna?,"""23andMe Research"" refers to research aimed at publication in peer-reviewed journals and other research funded by the federal government (such as the National Institutes of Health - NIH) conducted by 23andMe.",Relevant,test
724,do you record what our cameras see?,"First of all, we want you to be assured that we do not read or listen to the content of your messages and/or calls made privately via Viber and we do not store those messages once they have been delivered to their destination (which on average takes less than one second).",Relevant,test
725,are you storing any of my information?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
726,"if it's free, does viber profit off its users in some way?",Your posts on public accounts and communities may remain available if you do not delete them.,Relevant,test
727,does viber have any affiliation with the advertisement industry?,"As part of the Rakuten Group, Viber relies on the Rakuten Group Binding Corporate Rules to legitimize international data transfers within the Group.",Relevant,test
728,does groupon sell my personal information?                                                         ,"Communicate and provide additional information that may be of interest to you about Groupon and ourBusiness Partners, sometimes by combining your information with information fromOther Sources;",Relevant,test
729,do you record what our cameras see?,"When you interact with Public Accounts, bots and Communities on our Service, we may obtain information about the messages you have liked, comments you have left and also websites youve viewed through links in them.",Relevant,test
730,do you publish my data,This data is then assigned a randomly generated ID so an individual cannot reasonably be identified.,Relevant,test
731,is my information sold,We do not actively share personal information with third party advertisers for their direct marketing purposes unless you give us your consent.,Relevant,test
732,is my watch history stored?,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
733,does it collect location,"A users location may be used to suggest other users with whom they might want to connect, analyze usage trends, or target certain promotions.",Relevant,test
734,this app ask any kind personal details like credit card details?    ,"Financial Information: information collected from you as needed to process payments for Groupon vouchers or other products or services that you buy, or as provided by you to administer your participation in optional services and programs, such as your payment card number, expiration date, and card verification number.",Relevant,test
735,what information is collected from me?,"By participating in a referral program or by choosing to share information with another person, you confirm that the person has given you consent for 23andMe to communicate (eg, via email) with him or her.",Relevant,test
736,how does the app make sure my genetic data stays secure?,"23andMe requires service providers to implement and maintain accepted industry standard administrative, physical and technical safeguards to protect Personal Information.",Relevant,test
737,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"We use your email address and, in rare situations your mailing address or phone number, to contact you regarding administrative notices from time to time.",Relevant,test
738,what type of permissions does the app need to operate?              ,"You can opt not to permit the collection of this information, or permit it only when using the mobile app, but it may limit certain functions or features of the Site.",Relevant,test
739,"if it's free, does viber profit off its users in some way?","The information may be disclosed to: (i) provide joint content and our services (eg, registration, coordination of membership accounts between the Viber corporate family, transactions, analytics and customer support); (ii) help detect and prevent potentially illegal acts, violations of our policies, fraud and/or data security breaches.",Relevant,test
740,what permissions are required?,"We collect information from you when you use Keep App  for example, when you:",Relevant,test
741,does it sell my data to anyone?                                                           ,"Manage our everyday business needs, such as administration of the Site, forum management, fulfillment, analytics, fraud prevention, and enforcement of our corporate reporting obligations andTerms of Use, or to comply with the law;",Relevant,test
742,can i delete my personally identifying information?,"Once you confirm your request, this process cannot be cancelled, undone, withdrawn, or reversed.",Relevant,test
743,what are all the features are available in this app?                                      ,"Administer rewards, surveys, sweepstakes, contests, or other promotional activities or events sponsored by us or ourBusiness Partners;",Relevant,test
744,is my information sold,Our Services may contain advertisements from companies other than PeopleFun that may link to their own websites.,Relevant,test
745,does this app get access to my other apps like twitter and instagram?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
746,can anyone view my account?,"Upon deactivation of your account, we will minimize the personal data we keep about you only to such data which we are required to keep to comply with laws, or other legal reasons.",Relevant,test
747,does it save any of my health data?,"With adequate data support, we will create and update more popular training classes for you to take.",Relevant,test
748,is any information recorded,"Account deletion If you no longer wish to participate in our Services, or no longer wish to have your Personal Information be processed, you may delete your 23andMe account and Personal Information within your Account Settings.",Relevant,test
749,how is my medical information protected?,"Your information collected through the Service may be stored and processed in the United States or any other country in which 23andMe or its subsidiaries, affiliates or service providers maintain facilities and, therefore, your information may be subject to the laws of those other jurisdictions which may be different from the laws of your country of residence.",Relevant,test
750,does it sell data,"To prevent disclosure of your personal information for use in direct marketing by a third party, do not opt in to such use when you provide personal information through our Services.",Relevant,test
751,does it read my contacts?,"When you access our Services, we may collect (i) certain technical information about your mobile device or computer system, including IP Address, mobile device ID (IDFA, Google Advertising ID or other identifiers), and the version of your operating system; and (ii) usage statistics about your interactions with the Games.",Relevant,test
752,"what does groupon do with collected data? (eg, does it sell it to third parties?)                  ","Communicate and provide additional information that may be of interest to you about Groupon and ourBusiness Partners, sometimes by combining your information with information fromOther Sources;",Relevant,test
753,are there other people who can access my information?,Some of our Services allow you to share information with others on a public basis.,Relevant,test
754,does this app capture my ip address?," Non-Personal Information: It includes but is not limited to your devices configuration, the package ID and version of the application that you use.",Relevant,test
755,"what permissions am i giving keep as far as accessing my phone/ photos/ texts, etc when i sign up?","Please read the Privacy Policies of those platforms, as your activity published on those platforms will no longer be governed by this Privacy Policy.",Relevant,test
756,is my personal information anonymous?,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
757,can other members view my real name?,"De-identified Information: information that has been stripped of your Registration Information (eg, your name and contact information) and other identifying data such that you cannot reasonably be identified as an individual, also known as pseudonymized information.",Relevant,test
758,is my dna information used in any other way besides what is specified?,"You may also have the ability to share information directly with individuals who have not participated in our Service via a unique, shareable URL or through a social media platform (such information is ""User Content"").",Relevant,test
759,what permissions does it request on my phone?                      ,"If you wish to opt out of receiving offers directly from ourBusiness Partners, you can follow the opt-out instructions in the emails that they send you.",Relevant,test
760,will the application make money off of the info i enter in the app?,We are not responsible or liable for the content or privacy & security practices of those websites.,Relevant,test
761,do vendors get my information?                                      ,with any GrouponAffiliatewho may only use thePersonal Informationfor the purposes described in this Privacy Statement;,Relevant,test
762,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"Other than consented by you, we commit that we will not sell your personal information to any other third parties for their processing for any purposes.",Relevant,test
763,what will you do with my dna?,"23andMe continuously works to improve our Services based on our research and product development, and genetic associations identified in scientific literature.",Relevant,test
764,will my test results be shared with any third party entities?,For individuals located in the Designated Countries: Our legal basis for processing your Sensitive Information for the purpose described above is based on your consent.,Relevant,test
765,how is my data stored?,"We may receive certain information about you which is stored on social media sites if users of those sites give us access to their profiles and you are one of their friends or connections, depending upon your settings on those sites.",Relevant,test
766,do you keep my data forever,"Once you confirm your request to delete your account and data, your account will no longer be accessible while we process your request.",Relevant,test
767,do i need to enter any personal information to use it?,provide information to ourVendors.This Privacy Statement does not apply to the collection of information in any way other than as listed above.,Relevant,test
768,what data does it collect,"When you interact with our Services, we may collect and store information from you directly as described below:",Relevant,test
769,is my search and purchase history shared with advertisers?  ,"Communicate and provide additional information that may be of interest to you about Groupon and ourBusiness Partners, sometimes by combining your information with information fromOther Sources;",Relevant,test
770,do you record what our cameras see?,"As for delivered status and call information (length of the call, missed calls etc), we believe they are important for other Viber users and therefore cannot be canceled.",Relevant,test
771,why do you need those permissions?,"When you make purchases through Keep, you may need to provide certain Personal Information to complete the purchase, such as your credit card information, bank account information.",Relevant,test
772,what kind of personal info does groupon have on me?                 ,"For more information on how Groupon usesCookies, including instructions on how to opt out of interest-based advertising, please review ourCookies Policy.",Relevant,test
773,what information does the company store about me?,"In other words, when you access the Site we are aware of your usage of the Site, and may gather, collect and record the information relating to such usage, including geo-location information, IP address, device and connection information, browser information and web-log information, and all communications recorded by Users through the Site.",Relevant,test
774,will my test results be shared with any third party entities?,"To allow you to share your Personal Information with others 23andMe gives you the ability to share information, including Personal Information, through the Services.",Relevant,test
775,what kind of data does groupon collect?                             ,We encourage you to familiarize yourself with the privacy statements provided by these other parties prior to providing them with information or taking advantage of a sponsored offer or promotion.,Relevant,test
776,do you sell my genetic data?,"23andMe may share summary statistics, which do not identify any particular individual or contain individual-level information, with our qualified research collaborators.",Relevant,test
777,what information of mine does it collect,"When you interact with our Services, we may collect and store information from you directly as described below:",Relevant,test
778,will it be shared,"Lima Sky or third parties may collect and use data for this purpose including, but not limited to IP address (including but not limited to for purposes of determining your coarse location), Device ID, MAC, software, applications, hardware, and in-game information.",Relevant,test
779,what information of mine does it collect,With your consent we or our service providers may send push notifications to your mobile device to provide Game updates and other relevant messages.,Relevant,test
780,is my search and purchase history shared with advertisers?  ,We (or ourVendorson our behalf) may share yourPersonal Informationas required or permitted by law:,Relevant,test
781,what data does it collect,With your consent we or our service providers may send push notifications to your mobile device to provide Game updates and other relevant messages.,Relevant,test
782,when do you delete stored data?,"(b) Social Media Information:If you sign in to your Viber account through third-party social media sites like Facebook, Twitter or VK, you agree to give us on-going access to your personal information on such sites (eg, your public profile, friend list, accounts you follow or who follow you, your email address, birthday, work history, education history, interests, current city, and video viewing).",Relevant,test
783,"if you need my email to bind the game to an account, do you sell it to others?",Lima Sky reserves the right to use and disclose the collected non-personal data for purposes of advertisement by Lima Sky or Lima Skys partners and contractors.,Relevant,test
784,does groupon sell my personal information?                                                         ,"Allow you to apply for a job, post a video or sign up for special offers from merchants,Business Partners, or third parties through the Site andOther Programs;",Relevant,test
785,do you sell my data,"For example, if a university tells us about a new cancer research project, we may send an email to 23andMe research participants who potentially fit the relevant eligibility criteria based on their Self-Reported Information to make them aware of the research project and provide a link to participate with the research organization conducting the study.",Relevant,test
786,what control do i have as a user to limit the access to my account?,You can control what data you share through privacy settings available on some social media sites.,Relevant,test
787,who will have access to my information?                                                            ,"with a purchaser or prospective purchaser of Groupon or any of the GrouponAffiliates(or all or a portion of their assets), as described below inSection 10;",Relevant,test
788,will you ever sell my information?                                                        ,Third-Party Ad-ServersmeansVendorsand other third parties that provide the technology to place ads on websites and track ad performance.,Relevant,test
789,are my call logs recorded?,"Data Retention: Unless otherwise specified, we retain information as long as it is necessary and relevant for us to achieve the purposes referred to above or to enable us to comply with our legal data protection retention obligations.",Relevant,test
790,what data does it collect,"We may collect or receive information from other sources including (i) other PeopleFun users who choose to upload their email contacts, and (ii) third party information providers.",Relevant,test
791,is the messages sent through it are safe?,We need your help too: it is your responsibility to make sure that your personal information is accurate and that your password(s) and account registration information are secure and not shared with third-parties.,Relevant,test
792,what control do i have as a user to limit the access to my account?,"Because Viber is global, the recipients above may be located outside the country in which you are located.",Relevant,test
793,will you sell my information?,We may provide additional notice and ask for your prior consent if we wish to share your Personal Information with our commonly owned entities in a materially different way than discussed in this Privacy Statement.,Relevant,test
794,what data does it collect,"Your user profile may include a profile photo, a PeopleFun username, your gender, biographic details that you provide, details about the Games you play, and a PeopleFun user ID number that is created by PeopleFun and used to identify your profile.",Relevant,test
795,do you sell my genetic data?,"This Information is different from ""Individual-level"" information and is not Personal Information because it does not identify any particular individual or disclose any particular individuals data.",Relevant,test
796,does viber have any affiliation with the advertisement industry?,"(d) Legal and Law Enforcement: We may disclose your information to law enforcement, governmental agencies, or authorized third-parties, in response to a verified request relating to terror acts, criminal investigations or alleged illegal activity or any other activity that may expose us, you, or any other Viber user to legal liability.",Relevant,test
797,can i delete my personally identifying information?,Your data will not be included in studies that start more than 30 days after your account is closed (it may take up to 30 days to withdraw your information after your account is closed).,Relevant,test
798,do you track my location in real time.," Personal Information: When registering for TickTick, we collect personal information such as your name.",Relevant,test
799,will the information be shared with a 3rd party,Our IT and security providers assist with intrusion detection and prevention measures to stop any potential attacks against our networks.,Relevant,test
800,do vendors get my information?                                      ,"with a purchaser or prospective purchaser of Groupon or any of the GrouponAffiliates(or all or a portion of their assets), as described below inSection 10;",Relevant,test
801,how is my data stored?,"We maintain technical, physical, and administrative security measures to protect the security of your personal information against loss, misuse, unauthorized access, disclosure, or alteration.",Relevant,test
802,what information of mine does it access,This information is typically collected through the use of third-party mobile device software development kits.,Relevant,test
803,will the information be shared with a 3rd party,Your De-identified Genetic and Self-Reported Information may be used for 23andMe Research only if you have consented to this use by completing a Consent Document.,Relevant,test
804,are my call logs recorded?,"When you interact with Public Accounts, bots and Communities on our Service, we may obtain information about the messages you have liked, comments you have left and also websites youve viewed through links in them.",Relevant,test
805,what protections are used                                                                          ,"If you have any questions about security on our Web site, you can contact us at privacy@groupon.com.",Relevant,test
806,does viber sell my information to advertisers and marketers?,"(c) Provide Interesting Offerings to You and others: As part of value added services provided by us or by a third party within Viber, we may use your information to continuously optimize and personalize those services and send you personal updates about new offerings which we believe you will find relevant.",Relevant,test
807,where are the settings                                       ,You may manage how your browser handlesCookiesby adjusting its privacy and security settings.,Relevant,test
808,what information of mine does it access,"We may collect or receive information from other sources including (i) other PeopleFun users who choose to upload their email contacts, and (ii) third party information providers.",Relevant,test
809,"does it need my location at all times, or can i just type in it whenever i'm looking for a coupon?","We (or ourVendorson our behalf), use information collected as described in this Privacy Statement to:",Relevant,test
810,can i delete my personally identifying information?,You can voluntarily delete your TickTick account at any time on the Web and have all your data erased from our server.,Relevant,test
811,does it keep track of where i am?                                   ,"Device Datamay be collected automatically, and as soon as your device interacts with the Site and Groupon, even if you are not logged into the Site using your device.",Relevant,test
812,can anyone view my account?,"We may also further use such public information you share, for various reasons, such as improving our service and providing you with relevant content, and analyzing trends.",Relevant,test
813,what kind of data does groupon collect?                             ,We also receivePersonal Informationand other online and offline information fromOther Sources.,Relevant,test
814,is any data collected by the app has any connection with the third party sites?,"We may also send notifications about offerings by Viber or third-parties, that we think may be of interest to you.",Relevant,test
815,do you sell my data,"If we are aware that a child under 13 has provided us with personal identifiable Information, we will delete such information from our files.",Relevant,test
816,could the wordscapes app contain malware?,"Once we have received your information, we have procedures and security features in place to try to prevent unauthorized access.",Relevant,test
817,is my information sold,"We will provide your information to third party companies to perform certain services, including but not limited to payment processing, data analysis, e-mail delivery, hosting services, customer service and to assist us in our marketing efforts.",Relevant,test
818,this app ask any kind personal details like credit card details?    ,"Such information, when combined with Personal Information collected as provided in this Privacy Statement, will also be handled in accordance with this Privacy Statement.",Relevant,test
819,is there any sort of encryption for communications?,Western Union Partnership: You may use Viber to request Western Union to make wire transfers.,Relevant,test
820,"will the personal info i share with this app to sign up be shared with other companies, etc?","We will not disclose or transfer your personal information to any non-affiliated third parties, unless:",Relevant,test
821,do you sell my data,"We share the information described above in Section 2 with our third party service providers, as necessary for them to provide their services to us and help us perform our contract with you.",Relevant,test
822,do you sell my genetic data?,This information can help us improve site navigability and assess our Marketing campaigns.,Relevant,test
823,does it read my contacts?,"We and service providers acting on our behalf may use Log Files and tracking technologies to collect and analyze certain types of technical information, including Cookies, Flash Cookies, and Web Beacons.",Relevant,test
824,who will have access to my dna?,"23andMe will ask for your consent to share Individual-level Genetic Information or Self-Reported Information with any third party, other than our service providers as necessary for us to provide the Services to you.",Relevant,test
825,what information do you collect?,"  When you register to the Site we ask you to provide certain personal information, including a valid email address, location, facebook or google account log in details and username.",Relevant,test
826,can i submit a request to have my data deleted?,It will be removed from our services but may remain on local devices of some users (assuming they have chosen to save it).,Relevant,test
827,does the app save the address that my kit is shipped to?,"Our payment processor processes certain Registration Information, such as your billing address and credit card information, as necessary to enable you to purchase a 23andMe kit from the 23andMe.com online store.",Relevant,test
828,do you ever sell my personal information to other companies for marketing purposes?,"23andMe may share summary statistics, which do not identify any particular individual or contain individual-level information, with our qualified research collaborators.",Relevant,test
829,will you ever sell my information?                                                        ,"Operate, maintain and improve the Site and our services, andOther Programs;",Relevant,test
830,who will have access to my dna?,Our IT and security providers assist with intrusion detection and prevention measures to stop any potential attacks against our networks.,Relevant,test
831,is any data collected by the app has any connection with the third party sites?,"Your data is kept safe with us, but we do share your personal information with third parties we trust in order to provide you with our services, as follows:",Relevant,test
832,does viber have any affiliation with the advertisement industry?,"The information provided in your registration, if you link your email to the Viber account, will be shared with Rakuten group to create the Rakuten account and/or to link your Rakuten account with your Viber account.",Relevant,test
833,do you ever sell my personal information to other companies for marketing purposes?,"For example, we may be required to disclose Personal Information in coordination with regulatory authorities in response to lawful requests by public authorities, including to meet national security or law enforcement requirements.",Relevant,test
834,does it sell my data to anyone?                                                           ,"Send you reminders, technical notices, updates, security alerts, support and administrative messages, service bulletins, marketing messages, and requested information, including on behalf ofBusiness Partners;",Relevant,test
835,what type of permissions does the app need to operate?              ,"However, you can limit the information you provide to Groupon, and you can limit the communications that Groupon sends to you.",Relevant,test
836,how is my medical information protected?,"Registration Information is stripped from Sensitive Information, including Genetic and Self-Reported Information.",Relevant,test
837,will the information be shared with a 3rd party,"23andMe may share summary statistics, which do not identify any particular individual or contain individual-level information, with our qualified research collaborators.",Relevant,test
838,will any of my information be sold?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
839,is my information shared with any third parties?,"Unless you consent to Biobanking and additional analyses, your saliva sample and DNA are destroyed after the laboratory completes its work, subject to the laboratory's legal and regulatory requirements.",Relevant,test
840,how is my data used?,(e)Prevent Fraud & Spam; enforcement of law: We really want Viber to be free of spam and fraudulent content so that you feel safe and free.,Relevant,test
841,who will have access to the info i enter into the application?," We collect and hold only the information absolutely necessary for using our services, as well as limiting the internal access to your personal information for the purposes stated in Information Usage below.",Relevant,test
842,does 23andme use my test results for marketing purposes?,"""Targeted advertising"" service providers We permit third party advertising networks and providers to collect Web-Behavior Information regarding the use of our Services to help us to deliver targeted online advertisements (""ads"") to you.",Relevant,test
843,does it keep track of where i am?                                   ,"We collect your location information, including precise real-time geolocation, such as through look up based on IP address, GPS, Bluetooth, or WiFi signals, consistent with your choice of mobile device settings.",Relevant,test
844,are you obtaining information about my family?,"You have the option to provide us with additional information about yourself through surveys, forms, features and applications.",Relevant,test
845,does it store my dna information for long periods of time?,"23andMe and our third party genotyping laboratory will retain your Genetic Information, date of birth, and sex as required for compliance with applicable legal obligations, including the federal Clinical Laboratory Improvement Amendments of 1988 (CLIA) and CA Business and Professional Code Section 1265 and CAP accreditation requirements.",Relevant,test
846,does it share my purchase information with others?                                        ,"They do this by usingCookies, clear gifs and other technologies.",Relevant,test
847,are my tasks published to my collaborators in any way?,Your information will not be shared with others and is only used internally for the purposes described below:,Relevant,test
848,when i installation time any personal details ask in this app?,"If you do not want us to collect location information, you may disable that feature on your mobile device.",Relevant,test
849,does it have access to my contacts?,"We and service providers acting on our behalf may use Log Files and tracking technologies to collect and analyze certain types of technical information, including Cookies, Flash Cookies, and Web Beacons.",Relevant,test
850,do you track my location in real time.,"Users can disable cookies in their own browser settings, but please note that you may not be able to access certain features on our Website as a result.",Relevant,test
851,is my search and purchase history shared with advertisers?  ,"This Privacy Statement does not cover the collection methods or use of the information collected byThird-Party Ad-Servers, and Groupon is not responsible forCookiesor clear gifs in third party ads.",Relevant,test
852,do you sell any of our data?,This includes partners managing our advertising placements and also advertisers themselves and their agencies or third parties managing their advertising demands.,Relevant,test
853,are you certified to be secure?,"Whether to third parties or internally, any transfers of personal information from the European Economic Area (EEA) to countries not deemed to provide an adequate level of data protection are governed by European Union (EU) standard contractual clauses, or in the case of the United States, the EU - US Privacy Shield, and/or equivalent data transfer regulations to protect the security and confidentiality of personal information.",Relevant,test
854,what information is collected about users?,"When calling through Viber Out, just like regular phone calls you make, details of the call are available to the phone operator of the person you called (and possibly other facilitating phone operators  but this is the same as any regular phone call you make).",Relevant,test
855,does having this on my device create a privacy concern?," Non-Personal Information: It includes but is not limited to your devices configuration, the package ID and version of the application that you use.",Relevant,test
856,is my account information being shared?,"To operate the service, we also may make identifiable and anonymous information available to third parties in these limited circumstances: (1) with your express consent, (2) when we have a good faith belief it is required by law, (3) when we have a good faith belief it is necessary to protect our rights or property, or (4) to any successor or purchaser in a merger, acquisition, liquidation, dissolution or sale of assets.",Relevant,test
857,are there other people who can access my information?,"(d) Legal and Law Enforcement: We may disclose your information to law enforcement, governmental agencies, or authorized third-parties, in response to a verified request relating to terror acts, criminal investigations or alleged illegal activity or any other activity that may expose us, you, or any other Viber user to legal liability.",Relevant,test
858,is my search and purchase history shared with advertisers?  ,"with relevantBusiness Partners:with whom we jointly offer products and services;with whom we have entered into an agreement that provides for the disclosure, sale, lease, or license of your Information;to facilitate a direct relationship with you, including in connection with any program we administer on behalf of theBusiness Partner;to enable electronic communications with you as part of purchase, a sponsored reward, offer, contest, program, or other activity in which you have elected to participate;to the extent you have purchased or redeemed a Groupon voucher, goods or services offered by aBusiness Partneror participated in an offer, rewards, contest or other activity orOther Programssponsored or offered through Groupon on behalf of thatBusiness Partner;",Relevant,test
859,does it sell my data to anyone?                                                           ,We encourage you to review the privacy policies or statements of these third party advertising companies to learn more about their use ofCookiesand other technologies.,Relevant,test
860,is my data safe  ,We encourage you to review the privacy policies or statements of these third party advertising companies to learn more about their use ofCookiesand other technologies.,Relevant,test
861,what data does it collect,"We may collect the name you have associated with your device, device type, telephone number, country, and any other information you choose to provide, such as user name, character name, or e-mail address.",Relevant,test
862,is it gathering information on me when the app is not active?,"Log Files means certain information about how a person uses our Services, including both registered and unregistered users (either, a User).",Relevant,test
863,do you publish my data,"23andMe may share summary statistics, which do not identify any particular individual or contain individual-level information, with our qualified research collaborators.",Relevant,test
864,where is the privacy statement                                                            ,"This Privacy Statement does not cover the collection methods or use of the information collected byThird-Party Ad-Servers, and Groupon is not responsible forCookiesor clear gifs in third party ads.",Relevant,test
865,what do you do to keep my personal information private?,  Further information about our data security practices can be provided on request.,Relevant,test
866,are there other people who can access my information?,"Because Viber is global, the recipients above may be located outside the country in which you are located.",Relevant,test
867,is it possible for health insurance companies to get ahold of my data?,"If you choose not to complete a Consent Document or any additional agreement with 23andMe, your Personal Information will not be used for 23andMe Research.",Relevant,test
868,does groupon sell my personal information?                                                         ,"However, their use ofPersonal Informationobtained through Groupon is governed by their privacy policies and is not subject to our control.",Relevant,test
869,does the app need any special permissions to run?,"Users can disable cookies in their own browser settings, but please note that you may not be able to access certain features on our Website as a result.",Relevant,test
870,do you sell my genetic data?,"Once we receive your raw Genetic Information from the laboratory, we further analyze it to provide you with our health and/or ancestry reports, dependent on the Service purchased.",Relevant,test
871,this app ask any kind personal details like credit card details?    ,"provide information to enroll or participate inOther Programsprovided on behalf of, or together with,Business Partners;",Relevant,test
872,is my information shared with any third parties?,"Service providers are third parties (other companies or individuals) that help us to provide, analyze and improve our Services.",Relevant,test
873,how long do you save my information?,"Thereafter if the collected data is no longer needed for purposes specified in this Privacy Policy, Lima Sky deletes all aforementioned data in its possession within a reasonable timeframe.",Relevant,test
874,what are the permissions?,   you have provided your consent for us to use your personal information for a specific purpose;,Relevant,test
875,are there other people who can access my information?,"(c) Provide Interesting Offerings to You and others: As part of value added services provided by us or by a third party within Viber, we may use your information to continuously optimize and personalize those services and send you personal updates about new offerings which we believe you will find relevant.",Relevant,test
876,do you use my data to modify the app,We value your every uploaded training information as it is crucial for us to better understand which training class is more helpful to you.,Relevant,test
877,does it upload to any external websites?,"For more about their privacy policties, you may find it at : https://policies.google.com/technologies/partner-sites",Relevant,test
878,is it possible for health insurance companies to get ahold of my data?,"If you experience difficulties changing your consent status, contact the Human Protections Administrator at hpa@23andMe.com.",Relevant,test
879,what control do i have as a user to limit the access to my account?,We may also tell other Viber users that you are using a certain service or app (to recommend them to try that service as well).,Relevant,test
880,are there specific privacy settings in the app that would allow me to adjust my privacy preferences as i see fit?,We will process any requests in line with any local laws and our policies and procedures.,Relevant,test
881,will you sell my information?,"Per applicable data protection regulations, our EU, UK, and International websites present visitors with a cookie opt in to allow the processing described above via Functionality and Advertising Cookies.",Relevant,test
882,will the information be shared with a 3rd party,"This Information is different from ""Individual-level"" information and is not Personal Information because it does not identify any particular individual or disclose any particular individuals data.",Relevant,test
883,what are all the features are available in this app?                                      ,"provide information to enroll or participate inOther Programsprovided on behalf of, or together with,Business Partners;",Relevant,test
